title,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Senior Sales Executive,"Nexus Human Resources Recruitment Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Consultancy,Sales,62500
Foreman/หัวหน้าควบคุมงาน (งานโยธา),"RAIKOTHONG CONSTRUCTION & SERVICE CO., LTD.",Rayong,Not Specified,Not Specified,Permanent,Quantity Survey,Structural,20500
เจ้าหน้าที่ฝ่ายบัญชี/ธุรการ (Account/Admin Operation Officer)/เจ้าหน้าที่ฝ่ายบัญชี/ธุรการ,"Songyos Clinic Co., Ltd.",Dindaeng,Degree,N/A,Full Time,Medical,Operation,20500
Sales and Event Marketing,"Emanate  International Co.,ltd",Wattana,Degree,N/A,"Full Time, Part Time, Permanent",Marketing Services,CS & Business Devpt,20500
SAP Application Support (SD/MM//WM/FI/CO),"C.J. Express Group Co., Ltd.",Bangrak,Degree,1 year,Full Time,Wholesale,Information Technology (IT),45000
HR Manager (Compensation & Benefits,"Cobra International Co., Ltd.",Chonburi,Degree,8 years,Full Time,Athletics,Clerical Support,80000
Application Maintenance Support at Bangkok Area Nonthaburi (Urgent Required),"Netband Consulting Co., Ltd.",Prakket,Degree,1 year,Full Time,Information Technology,Support,25000
Technical Sales Executive,Hasco Singapore Pte Ltd,Bangkok,Diploma of High Vocational Education,3 years,Full Time,Automation Equipment,CS & Business Devpt,40000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales,27500
Senior Developer   ด่วน !!,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Software Development,52500
Marketing and Sales Manager,"BETA WEAVING FACTORY CO., LTD.",Bangplee,Degree,5 years,"Full Time, Permanent",Garment,Business Development,37500
Executive Secretary,Palmer & Turner (Thailand) Ltd.,Pathumwan,Degree,3 years,"Full Time, Permanent",Construction,Clerical Support,32500
Electrician / Electrical Technician /ช่างไฟฟ้า,"Bangsaray Property Co., Ltd./บริษัท บางเสร่ พร็อพเพอร์ตี้ จำกัด",Chonburi,Diploma of High Vocational Education,2 years,Full Time,Property Development,Electronics,13000
SALES REPRESENTATIVE for Bangkok area,"SDA Medical Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Medical,Pharmaceutical,21500
System Engineer (3 positions),"ESP Asian Center Co., Ltd.",Wattana,Degree,Not Specified,"Full Time, Permanent",Motor Vehicles,Programming,22500
Senior HRD Manager,"J.S.Technical Services Co., Ltd.",Bangkok,Master,10 years,Permanent,Architecture,Training & Development,105000
Technical Sales Training Manager,RSM Recruitment (Thailand) Limited,Bangna,Not Specified,Not Specified,Full Time,Human Resources Management,Sales Management,125000
iOS Developer,"Chilindo Co., Ltd.",Wattana,Degree,5 years,"Full Time, Permanent",Information Technology,Information Technology (IT),80000
Piping Engineer,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Diploma of High Vocational Education,5 years,Permanent,Quantity Survey,QS,40000
SALES EXECUTIVE,Eimskip (Thailand) Ltd.,Yannawa,Degree,N/A,"Full Time, Permanent",Delivery,Transportation & Logistics,20500
Technician / ช่างไฟฟ้า แอร์ ถอดประกอบ รถยนต์,"Win Part and Service Co., Ltd.",Phayathai,Not Specified,Not Specified,"Contract, Full Time, Permanent",Motor Vehicles,Others,16500
Brand Representative,"Phenomenon Enterprise Co., Ltd.",Klongtoey,Not Specified,Not Specified,"Freelance, Full Time, Part Time",Advertising,Sales Management,25000
Senior Marketing Executive/ผู้บริหารการตลาดอาวุโส,Bigo Technology Pte Ltd,Bangkok,Degree,3 years,"Contract, Full Time, Permanent",Information Technology,Public Relations,45000
Application Support Manager (Urgently),Bangkok Ranch Public Company Limited,Bangplee,Degree,5 years,"Full Time, Permanent",Food and Beverage,Information Technology (IT),72500
Driver,"FPT Food Process Technology Co., Ltd.",Bangplee,High School Certificate,2 years,Full Time,Automation Equipment,Others,13000
System Analysis Specialist   ด่วน !!,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),57500
HR Manager,"Advance Clean Power Co., Ltd.",Klongsan,Degree,N/A,Full Time,Oil & Gas,Recruitment,67500
Sales Manager / Sales Engineer (Infrastructure),Cormix International Limited/คอร์มิกซ์ อินเตอร์เนชั่นแนล จำกัด,Bangkok,Degree,3 years,Full Time,Quantity Survey,Sales Management,45000
Chief Accountant/สมุห์บัญชี,"Gold Elite Paris (Thailand) Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Retail,Accounting,30000
Production Manager at Wellgrow Industrial Estate (50,JAC International,Chachoengsao,Degree,8 years,Permanent,Engineering - Electrical,Engineering,62500
Procurement Specialist ( 40,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Paper,Merchandising & Purchasing,45000
Fashion Buyer (Chinese Speaking)/จัดซื้อต่างประเทศ (ภาษาจีน) /จัดซื้อต่างประเทศ( ภาษาจีน ),"Unique Trading (Thailand) Co., Ltd./บริษัท ยูนิคเทรดดิ้ง (ไทยแลนด์) จำกัด",Pravet,Degree,N/A,"Full Time, Permanent",Trading and Distribution,Merchandising - Others,23000
Digital Marketing Strategy Planner,"Nipa Technology Co., Ltd./บริษัท นิภา เทคโนโลยี จำกัด",Bangrak,Degree,Not Specified,Permanent,Advertising,Marketing,25000
HR Business Partner (Operations) Section Manager  (PIZZA HUT),Thoresen Thai Agencies Public Company Limited,Northeastern,Degree,5 years,Full Time,Delivery,Recruitment,57500
Reservations/Customer Service,Blue Voyage (Thailand),Pathumwan,Degree,3 years,Full Time,Catering,Sales,37500
Supply Chain Supervisor/ผู้จัดการ/ผู้ช่วย ฝ่ายบริหารห่วงโซ่อุปทาน,"Talaypu Natural Product Co., Ltd.",Wattana,Degree,3 years,Full Time,Wholesale,Warehousing,35000
Call Center Officer,"Beiersdorf (Thailand) Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Health & Beauty Care,Sales,22500
Accounting Manager/Supervisor/ผู้จัดการฝ่าย/แผนกบัญชีและการเงิน,"Cheer Group Holdings Co., Ltd./บริษัท เชียร์ กรุ๊ป โฮลดิ้งส์ จำกัด",Bangkok Area - Nakornpatom,Degree,5 years,"Full Time, Permanent",Catering,General Accounting,42500
Environment Health & Safety,"IHARANIKKEI CHEMICAL (THAILAND) CO., LTD.",Rayong,Not Specified,Not Specified,Permanent,Paper,Health,37500
SENIOR JAVA SYSTEM ANALYST,PRTR Recruitment & Outsourcing,Bangkok,(N/A),N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),62500
Design Engineer (Automotive.),"Cobra International Co., Ltd.",Chonburi,Degree,5 years,Full Time,Athletics,Engineering,72500
Engineer,Macro Kiosk Limited,Pathumwan,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Telecommunication,Information Technology (IT),20500
เจ้าหน้าที่จัดซื้อ  (Purchase)       ยินดีรับนักศึกษาจบใหม่!!!!,"Cool Innotech Co., Ltd.",Pravet,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Mixed Industry Group,Merchandising - Others,11500
Senior Software Engineer,JAC International,Bangkok,Degree,3 years,"Full Time, Permanent",Information Technology,Team Lead,62500
Sales Representative,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Marketing,27500
HR Manager/ผู้จัดการแผนกทรัพยากรบุคคล,Jay Mart Public Company Limted,Sapan-suang,Degree,10 years,Full Time,Retail,Admin & HR,57500
Event Sales and Marketing/ตัวแทนงานฝ่ายการขายและการตลาด (อีเว้นท์),"Phenomenon Enterprise Co., Ltd.",Klongtoey,Degree,N/A,"Freelance, Full Time, Part Time",Marketing Services,Customer Service,25000
Service Hostess/Host,"SHL Facility Service Co., Ltd.",Rayong,Diploma of High Vocational Education,5 years,Full Time,Accounting,F & B,37500
Graphic Designer / Packaging,RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,3 years,Full Time,Manufacturing,Graphics,37500
Videographer: Shoot & Edit,"EMPAG (THAILAND) CO., LTD.",Wattana,Degree,Not Specified,"Full Time, Permanent",Public Relations,Photography,25000
Customer Experience Agent/เจ้าหน้าที่ลูกค้าสัมพันธ์,Bounceinc (Thailand) Limited,Dindaeng,Degree,1 year,"Full Time, Permanent, Temporary",Entertainment,Customer Service,22500
PRODUCT SPECIALIST,Cosmo Group Public Company Limited,Prakanong,Degree,3 years,Full Time,Watches,Medical Services Technician,45000
Chief Operating Officer ( COO )/ประธานฝ่ายปฎิบัติการ,S.K.J.Industries Company Limited,Wangthonglang,Degree,5 years,"Contract, Full Time",Chemical,GM,87500
Packaging Artworker (Finished Artist),"GROUP24/7 Worldwide (Thailand) Co., Ltd.",Bangkapi,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Printing,Graphics,27500
1.	วิศวกรออกแบบงานระบบ M&E / ระบบโครงสร้าง  2.วิศวกรควบคุมงานระบบ M&E /โครงสร้าง,"W. And ASSOCIATES Designs Co., Ltd.",Bangkapi,Degree,N/A,"Full Time, Permanent",Architecture,Electrical,32500
Account Executive  / Account Manager (Based in Phuket),"Navigo Samui Co., Ltd.",Phuket,Degree,N/A,Full Time,Tourism,Sales,27500
Lead Architect,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,10 years,Permanent,Architecture,Building,62500
Engineer Management Trainee (Bachelor Degree in Mechanical or Industrial Engineer),"Smartcruit Consultant Co., Ltd.",Bangkhuntien,Degree,N/A,"Full Time, Permanent",Chemical,Others,25000
Garment/ Apparel Production Manager/ผู้จัดการฝ่ายผลิตเสื้อผ้า,ห้องเสื้อพิจิตรา,Klongtoey,Degree,5 years,"Contract, Full Time, Permanent",Human Resources Management,Textile,19000
Team Assistant,"NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Consultancy,Administration,23000
HR Manager /ผู้จัดการส่วนทรัพยากรมนุษย์,Kulthorn Kirby Public Company Limited,Ladkrabang,Degree,6 years,Full Time,Electronics,Admin & HR,57500
Feed Ingredient Logistic Supervisor /Feed Ingredient Logistic Supervisor,Cargill Meats (Thailand) Limited,Saraburi,Degree,2 years,Full Time,Food and Beverage,Transportation & Logistics,25500
CUSTOMER CARE OFFICER (Chinese MANDARIN & English Speaking)/ เจ้าหน้าที่ดูแลลูกค้า,"",Klongtoey,Degree,N/A,Full Time,Public Relations,CS & Business Devpt,22500
IT Officer/ เจ้าหน้าที่ไอทีคลินิก,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Retail,Information Technology (IT),14500
Telesales/พนักงานขาย/ดูแลลูกค้า,"FastShip Co., Ltd./ฟาสต์ชิพ",Laksri,Degree,2 years,"Full Time, Part Time, Permanent, Temporary",Shipping,Account Servicing,20500
Accounting Officer (Junior Level)/เจ้าหน้าที่บัญชี,"Asia Biogas (Thailand) Co., Ltd./บริษัท เอเชีย ไบโอแก๊ส (ประเทศไทย) จำกัด",Bangkok,Degree,2 years,"Full Time, Permanent",Oil & Gas,Others,18000
Sale Executive,"ASIA PACIFIC PAPER CO., LTD.",Bangkok,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Retail,Sales,25500
Assistant HR Manager,"iBingo Consulting Co., Ltd.",Bangkok,Degree,8 years,"Full Time, Permanent",Human Resources Management,Recruitment,57500
Business Coordinator,"Innofoods Co., Ltd.",Wattana,Degree,N/A,Full Time,General Business Services,Marketing,20500
Marketing Manager,"OSHINEI ENTERPRISE CO., LTD.",Pravet,Degree,3 years,"Full Time, Permanent",Catering,Marketing General,50000
VISA OFFICER/เจ้าหน้าที่แผนกวีซ่า,"Travel Technology Services Co., Ltd.",Prakket,Degree,1 year,Full Time,Tourism,F & B,25000
Senior Secretary / Personal Assistant,Southeast Insurance Public Company Limited,Bangrak,Degree,8 years,"Full Time, Permanent",Pension Funding,Operation,50000
Assistant Sales Manager / ผู้ช่วยผู้จัดการฝ่ายขาย,Competizioni Moto/คอมเพททิชันนี่ โมโต,Suanluang,Degree,2 years,"Full Time, Permanent",Retail,Sales,52500
Accounting Manager (Trading/FMCG) 120K,"PUZZLE PIECE SOLUTIONS CO., LTD.",Bangkok,Degree,9 years,Full Time,Trading and Distribution,Others,125000
Instructor (Religious Studies,"Collage of Religious Studies, Mahidol University",Bangkok Area - Nakornpatom,Doctorate,N/A,Full Time,Education,Lecturer,32500
Sou Chef / Chef De Parti / Commis,"INVIBE Advisory Co., Ltd.",Wattana,High School Certificate,2 years,Full Time,Catering,Hospitality,30000
Office Administrator,"Doulon Electronics Co., Ltd",Wattana,Not Specified,Not Specified,Full Time,Engineering - Electrical,Administration,20500
Interior Designer / Shop Designer,"Dedica Recruitment Co., Ltd.",Ladprao,Degree,2 years,"Full Time, Permanent",Human Resources Management,Architectural Services,25000
Content Management Executive,"Lyreco (Thailand) Co., Ltd.",Bangna,Degree,3 years,Full Time,Trading and Distribution,Marketing,27500
Supervisor ( Restaurant )/หัวหน้างานบริการ,"Mugendai Co., Ltd.",Bangkok,Degree,2 years,Full Time,Catering,Hospitality,22500
GA & HR Section Supervisor / Chonburi 30K ++ Urgent !!,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Petrochemical,Clerical Support,27500
Programmer and Programmer Analyst ด่วน !!,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),30000
Accounting staff/พนักงานบัญชี,"FIFTH CONSULTING CO., LTD.",Sathorn,Degree,3 years,"Full Time, Permanent",Engineering - Electrical,Accounting,30000
Maintenance Engineer/ Sales Engineer / Sales Executive / Accounting,"Fmak (Thailand) Co., Ltd./บริษัท เอฟมัก (ประเทศไทย) จำกัด",Klongluang,Degree,1 year,Full Time,Food and Beverage,Engineering,25500
Creative,"OpenDurian Co., Ltd.",Jatuchak,(N/A),Not Specified,Permanent,Education,Marketing,32500
Service Engineer (Exp in Maintenance & Repair/ Degree in Mechanical) Attractive Benefits,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Industrial Machinery,Engineering,35000
Accountant / บัญชี  (สาขาลำพูน),CHIANG MAI SIAM T. V. COMPANY LIMITED,Lampoon,Diploma of High Vocational Education,3 years,"Full Time, Permanent",Wholesale,Finance,14500
Sales Manager / Sales Engineer (Infrastructure),Cormix International Limited/คอร์มิกซ์ อินเตอร์เนชั่นแนล จำกัด,Bangkok,Degree,3 years,Full Time,"Engineering - Building, Civil, Construction",Civil,45000
Database Analyst and Salesforce Specialist,"Tangible Solutions Co., Ltd.",Wattana,Degree,3 years,Full Time,Public Relations,Information Technology (IT),45000
PRODUCT SPECIALIST,Cosmo Group Public Company Limited,Prakanong,Degree,3 years,Full Time,Jewellery,Lab,45000
Property Agent (Sales Officer),"Sense Property Group Co., Ltd.",Wattana,Degree,2 years,Full Time,Consultancy,Sales,37500
Sales Representative (เจ้าหน้าที่การขายประจำอีเว้นท์),The Singular Group Limited,Phayathai,(N/A),N/A,"Freelance, Full Time, Part Time, Temporary",Marketing Services,CS & Business Devpt,27500
็Head Accounting/หัวหน้าฝ่ายบัญชี,St Theresa International College,Nakornnayok,Degree,3 years,"Full Time, Permanent",Education,Accounting,30000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Event Marketing,27500
Software Developer (.Net/VB),"Manpower Professional and Executive Recruitment Co., Ltd,",Laksri,Not Specified,Not Specified,"Full Time, Permanent",Consultancy,Others,25000
Logistics Officer / Chemical Background,RSM Recruitment (Thailand) Limited,Samutprakarn > Muang,Degree,5 years,Full Time,Consultancy,Export Import,62500
Administration officer,Anantara Vacation Club,Thonburi,Degree,1 year,"Full Time, Permanent",Hospitality,Others,27500
PRODUCT SPECIALIST,Cosmo Group Public Company Limited,Prakanong,Degree,3 years,Full Time,Gems,Manufacturing,45000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,CS & Business Devpt,27500
Environmental Health & Safety Officer/เจ้าหน้าที่ความปลอดภัยวิชาชีพ,"Obrist (Thailand) Co., Ltd./โอบริสท์ (ประเทศไทย) จำกัด",Samutprakarn > Muang,Degree,1 year,"Full Time, Permanent",Paper,Safety,25000
Sales/เจ้าหน้าที่ขาย/เจ้าหน้าที่ขาย,"VRP Food and Bakery Co., Ltd.",Kanchanaburi,(N/A),2 years,"Full Time, Permanent",Food and Beverage,Customer Service,23000
JAVA Developer,3i Infotech (Thailand) Ltd.,Sathorn,Degree,N/A,"Contract, Permanent",Information Technology,Information Technology (IT),45000
FINANCE PLANNING / MANUFACTURING / PROJECT FINANCIAL / BUSINESS ANALYSIS,Cosmo Group Public Company Limited,Prakanong,Degree,2 years,"Full Time, Permanent",Gems,Manufacturing Management,62500
Sales Executive,"V.Greatpremium Co., Ltd.",Huaykwang,Degree,1 year,Full Time,Marketing Services,Account Servicing,32500
Account Executive,Lockton Overseas Ltd (Rep Office),Bangkok,Degree,3 years,Full Time,Pension Funding,Broker,27500
Sales Representative (Bangkok area) พนักงานขาย กรุงเทพ/เซลล์ พนักงานขาย กรุงเทพ,"Big 3 Industry Co., Ltd.",Bangkok,Diploma of High Vocational Education,> 20,"Full Time, Permanent",Chemical,Sales,20500
Sr. Vision Software Engineer (Automation),"Cal-Comp Electronics (Thailand) Public Co., Ltd.",Klongtoey,Degree,1 year,"Full Time, Permanent",Electronics,Admin & HR,22500
Sales Representative ( Event Channel ),"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Public Relations,Event Marketing,25000
Japanese Speaking,Adecco Phaholyothin Limited,Phrachinburi,Not Specified,5 years,Full Time,Manufacturing,Administration,72500
[Up to 25K] Secretary cum Admin,"Asian Leaders Career Co., Ltd.",Bangrak,Degree,2 years,Full Time,Printing,Admin & HR,25000
Accounting Officer (Entertainment Business),Thoresen Thai Agencies Public Company Limited,Phayathai,Degree,1 year,"Full Time, Permanent",Freight Forwarding,Taxation,23000
Supply Chain Supervisor/ผู้จัดการ/ผู้ช่วย ฝ่ายบริหารห่วงโซ่อุปทาน,"Talaypu Natural Product Co., Ltd.",Wattana,Degree,3 years,Full Time,Wholesale,Production Planning,35000
Purchasing Officer/เจ้าหน้าที่จัดซื้อ,CANADIAN SOLAR MANUFACTURING (THAILAND) COMPANY LIMITED,Chonburi,Degree,4 years,Full Time,Energy,Merchandising & Purchasing,27500
IMMEDIATE START,EV Development Company Limited,Wattana,Degree,2 years,"Full Time, Permanent",Others,Design,57500
Project Coordinator,"VOCA Building Materials Co., Ltd.",Huaykwang,Diploma of High Vocational Education,3 years,"Full Time, Permanent",Wholesale,Sales,22500
Shop Supervisor (Premium Oral Care Shop)/ผู้ช่วยผู้จัดการร้าน,"Poon Sisters Co., Ltd.",Bangplee,Degree,2 years,"Full Time, Permanent",Wholesale,Sales,30000
Customer Service (3,"Smartcruit Consultant Co., Ltd.",Bangkhuntien,Degree,3 years,"Full Time, Permanent",Chemical,Administration,32500
Marketing Communication/นักการสื่อสารทางการตลาด,Sphere Agency,Bangrak,Degree,2 years,Full Time,Public Relations,Marketing,22500
HR Officer (1 Position)/เจ้าหน้าที่ฝ่ายทรัพยากรบุคคล (1 Position),Megachem (Thailand) PCL.,Ladkrabang,Degree,1 year,"Full Time, Permanent",Petrochemical,Admin & HR,32500
พนักงานขายคอมพิวเตอร์ (IT) 2 อัตรา,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Wholesale,Distribution,18000
CRM and Salesforce Manager,Audience IQ,Wattana,Degree,1 year,"Full Time, Permanent",Advertising,Internet,95000
Waitress ( Full Time ) 5 Positions/พนักงานเสริฟ ประจำร้าน 5 ตำแหน่ง,"TMS TALENT CO., LTD.",Wattana,High School Certificate,1 year,Full Time,Catering,F & B,27500
Customer Service Officer (New graduate are welcome),"Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,N/A,Full Time,Printing,CS & Business Devpt,22500
Environmental Health & Safety Officer/เจ้าหน้าที่ความปลอดภัยวิชาชีพ,"Obrist (Thailand) Co., Ltd./โอบริสท์ (ประเทศไทย) จำกัด",Samutprakarn > Muang,Degree,1 year,"Full Time, Permanent",Paper,Others,25000
Consultant,JAC Recruitment Thailand,Bangkok,Degree,10 years,"Full Time, Permanent",Consultancy,Banking,80000
Android Developer,Digital Endpoint Ltd,Phayathai,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),52500
Web Developer (Wordpress & PHP) [Urgent!],"AG DRAGON CO., LTD.",Jatuchak,Degree,2 years,"Contract, Full Time, Permanent",Retail,Software Development,25000
Web Programmer,"HATYAI APPLICATION CO., LTD.",Songkhla,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),16500
Digital Marketer/เจ้าหน้าที่การตลาดออนไลน์ /ที่ปรึกษาความงามออนไลน์,"Dream Clinic Medicine Co., Ltd./บจก.ดรีมคลินิกเวชกรรม",Dindaeng,Degree,N/A,"Full Time, Part Time",Medical,Media & Advertising,32500
Merchant Head of Sales,RewardsPartner,Bangkok,Degree,10 years,Full Time,Financial Services,CS & Business Devpt,95000
Oversea Sales 1 Position,"Bangkok Interfood Co., Ltd.",Klongsan,Degree,3 years,Permanent,Food and Beverage,Public Relations,32500
Piping Engineer,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Diploma of High Vocational Education,5 years,Permanent,"Engineering - Building, Civil, Construction",Construction,40000
Administrative Officer/เจ้าหน้าที่ธุรการ,"BIOMASS EXCHANGE CO., LTD.",Lopburi,Degree,N/A,"Full Time, Permanent",Oil & Gas,Marketing Communication,14500
Service Manager (5+ years in Technical Service for Automotive/Machinery/Spare Parts),"Smartcruit Consultant Co., Ltd.",Bangkok Area - Pathumthani,Degree,5 years,"Full Time, Permanent",Industrial Machinery,Maintenance,62500
Jewelry designer,"Chokas Jewelry Co., Ltd.",Pranakorn,Degree,1 year,"Full Time, Internship",Gems,Industrial,19000
Acting Sales Section Manager/รักษาการผู้จัดการแผนกขาย,"Thai Hitachi Enamel Wire Co., Ltd.",Chachoengsao,Degree,8 years,"Full Time, Permanent",Electrical Equipment,CS & Business Devpt,57500
Internal Auditor,"Bangkok Airways Co., Ltd.",Jatuchak,Degree,1 year,"Full Time, Permanent",Mass Transportation,Accounting,20500
Senior/Lead Brand Manager (Skin Care,Argyll Scott Asia,Bangkok,(N/A),5 years,"Full Time, Permanent",Wholesale,Product Management,105000
Sales Executive (Horticulture),"Eseco (Thai) Co., Ltd.",Chachoengsao,Degree,3 years,"Full Time, Permanent",Plastic,Sales Management,35000
Office Admin,Sports Engineering and Recreation Asia Ltd.,Prachuap Khiri Khan,Degree,3 years,"Full Time, Permanent",Trading and Distribution,Accounting,30000
Senior Software Engineer (Ruby,"Mavenfield Co., Ltd./บริษัท มาเว่นฟิลด์ จำกัด",Bangkok,(N/A),5 years,"Contract, Full Time, Permanent",General Business Services,Programming,72500
Technical Sales Executive,Hasco Singapore Pte Ltd,Bangkok,Diploma of High Vocational Education,3 years,Full Time,Industrial Machinery,Sales,40000
Call Center (Customer Representative) / เจ้าหน้าที่บริการลูกค้าทางโทรศัพท์,FedEx Express,Klongtoey,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Shipping,No Experience,22500
Technical Sale Engineer,"Geomechanical Services Co., Ltd.",Ladprao,Degree,1 year,Full Time,"Engineering - Building, Civil, Construction",Sales Engineer,40000
Administrative supervisor.,CANADIAN SOLAR MANUFACTURING (THAILAND) COMPANY LIMITED,Chonburi,Master,10 years,Full Time,Trading and Distribution,Admin & HR,40000
Human Resource Manager /ผู้จัดการฝ่ายบุคคล,"Jes Interior Co., Ltd.",Pravet,Degree,3 years,Full Time,Graphic Design,Clerical Support,30000
Finance & Accounting Officer,"CloudCommerce Co., Ltd.",Laksri,Degree,2 years,"Full Time, Permanent",Freight Forwarding,Accounting,20500
Process Engineer ( Bulk Material ) 40,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,3 years,Full Time,Petrochemical,Manufacturing & Production,45000
Sales Officer / พนักงานขาย,"Park & Garden Co., Ltd.",Bangkapi,Diploma of High Vocational Education,1 year,Permanent,Others,Others,18000
Senior C,Adecco Engineering & IT,Sathorn,Degree,3 years,"Full Time, Permanent",Mechanical,Programming,57500
HR Payroll Manager,"iBingo Consulting Co., Ltd.",Bangkok,Degree,8 years,"Full Time, Permanent",Human Resources Management,Clerical Support,80000
PEOPLES MANAGER,Global Rooms LTD.,Bangrak,Degree,3 years,"Full Time, Permanent",Catering,Others,80000
Graphic Designer,"In Chern Trading Co., Ltd.",Bangplee,(N/A),N/A,Full Time,Retail,Journalism,23000
CSS Developer,"Skillpower Services (Thailand) Co., Ltd.",Prakket,Degree,1 year,"Full Time, Permanent",Management Consultancy,Software Development,35000
Technical Support Engineer (Fiber Optic),JAC International,Jatuchak,Degree,3 years,Full Time,Telecommunication,Sales,37500
Human Resource Officer/เจ้าหน้าที่ฝ่ายบุคคล,"EIJI SKIN EXPERT CO., LTD.",Central,Degree,2 years,Full Time,Health & Beauty Care,Admin & HR,22500
Restaurant Manager,HOOTERS ASIA,Bangkok,(N/A),N/A,"Full Time, Permanent",Catering,Operation,40000
Events Manager / Business Development Executive/ผู้จัดการอีเว้นท์และฝ่ายขาย,OmniRaise,Prakanong,(N/A),2 years,Full Time,Marketing Services,Sales,25000
Customer Service Officer (Amatanakorn IE),"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Petrochemical,Customer Service,32500
Sales Representative & Analyst/พนักงานฝ่ายขายและนักวิเคราะห์,"Srithana Perfect Co., Ltd./บริษัท ศรีธนาเพอร์เฟคท์ จำกัด",Jatuchak,Degree,2 years,"Full Time, Permanent",Plastic,CS & Business Devpt,25000
Merchandising,GBIOTECH,Others,Diploma of High Vocational Education,1 year,"Contract, Full Time",Energy,Procurement,57500
Product Quality Assurance Manager (70,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,8 years,Full Time,Wholesale,Manufacturing,80000
PCT Technician (Support),"NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Human Resources Management,Structural,25500
Sr. Vision Software Engineer (Automation),"Cal-Comp Electronics (Thailand) Public Co., Ltd.",Klongtoey,Degree,1 year,"Full Time, Permanent",Electronics,Admin & HR,22500
Sales Associate Fashion (Mandarin),"Staffers Recruitment Consultants Co., Ltd.",Bangkok,Degree,3 years,Full Time,Textile,Sales,40000
Senior Programmer,"Carenet and Business Management Recruitment Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Information Technology,Information Technology (IT),30000
Public Relation Officer/เจ้าหน้าที่สัมพันธ์,German-Southeast Asian Center of Excellence for Public Policy and Good Governance (CPG),Bangkok,Degree,Not Specified,Full Time,Social Services,Administration,20500
Senior Creative Event,"Bonduba And Ningki United Co., Ltd./บริษัท บอนดูบา แอนด์ นิงกิ ยูไนเต็ด จำกัด",Wangthonglang,Degree,3 years,"Full Time, Permanent",Public Relations,Marketing,37500
Chinese Interpreter/ Coordinator/ล่าม/ธุรการภาษาจีน,China Petroleum Pipeline Bureau,Nakhon Ratchasima,Degree,N/A,Full Time,Power,Admin & HR,25000
Sales Associate Fashion (Mandarin),"Staffers Recruitment Consultants Co., Ltd.",Bangkok,Degree,3 years,Full Time,Garment,CS & Business Devpt,40000
Customer Service Officer (Amatanakorn IE),"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Chemical,CS & Business Devpt,32500
