title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Warehouse Officer/พนักงานจัดการคลังสินค้า,Entry Level,"RUNGRUANG TH.WATTANA CO., LTD.",Nakhon Ratchasima,High School Certificate,N/A,Full Time,Wholesale / Retail,"Transportation & Logistics > Inventory / Warehousing , Others > Others",9000
Sales IT (software) 70,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,5 years,Full Time,Information Technology,"Information Technology (IT) > IT Consulting , Sales, CS & Business Devpt > Sales Management , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",82500
Japanese Editor/กองบรรณาธิการนิยายญี่ปุ่น,"",Storylog,Wattana,Not Specified,Not Specified,Full Time,Information Technology,Professional Services > Translation,27500
Adjuster/ผู้สำรวจและตรวจสอบความเสียหาย,Entry Level,McLarens (Thailand) Ltd.,Bangrak,Degree,N/A,"Full Time, Permanent",Insurance / Pension Funding,Insurance > Others,35000
IT Sales Executive (2 years+ in Selling Software Products),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Contract, Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > IT Project Management / Team Lead , Sales, CS & Business Devpt > Account Servicing",30000
Key Account Supervisor,Middle,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,Prakanong,Degree,3 years,"Full Time, Permanent",Trading and Distribution,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Channel / Distribution",30000
Accountant / พนักงานบัญชี,Middle,"Cosmo Care Co.,Ltd.",Wangthonglang,(N/A),1 year,"Full Time, Permanent",Health & Beauty Care,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",20500
Marketing Manager/ผู้จัดการฝ่ายการตลาด,"","Pola Cosmetics (Thailand) Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Health & Beauty Care,"Marketing / Public Relations > Management , Marketing / Public Relations > Brand / Product Management",40000
Sales & Services Engineer (Industrial: Coatings / Equipment) : 70,Middle,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Manufacturing,"Engineering > Electrical / Electronics , Manufacturing > Others , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",80000
Shop Manager/ผู้จัดการร้าน สาขาสยามสแควร์วัน,Senior,บริษัท ฮาโกะ สโตร์ จำกัด,Pathumwan,(N/A),2 years,"Full Time, Permanent",Trading and Distribution,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Sales Management",27500
ผู้จัดการ,Middle,"Eastiny Co., Ltd.",Chonburi,Diploma of High Vocational Education,2 years,Permanent,Hospitality / Catering,Hospitality / F & B > Management,18000
Project Coordinator (E,Entry Level,"SmoothGraph Connect Co., Ltd./บริษัท สมูทกราฟ คอนเน็ค จำกัด",Bangkor-laem,Degree,1 year,"Contract, Full Time, Permanent",Information Technology,"Admin & HR > Administration / Operation / Clerical Support , Information Technology (IT) > MIS , Information Technology (IT) > IT Consulting",22500
Quality Manager (70,"","Skillpower Services (Thailand) Co., Ltd.",Rayong,Degree,3 years,"Full Time, Permanent",Manufacturing,Engineering > Others,80000
Automation Engineer/ Design Engineer (Exp with PLC,Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical,"Engineering > Electrical / Electronics , Engineering > Maintenance , Engineering > Mechanical",30000
Japanese Speaking Production Manager,Not Specified,JAC Recruitment Thailand,Samutprakarn > Muang,Not Specified,Not Specified,Full Time,Manufacturing,Manufacturing > Manufacturing Management,82500
Sales & Marketing (Reeracoen) (25K,"","Reeracoen Recruitment Co., Ltd.",Pathumwan,Degree,2 years,"Full Time, Permanent",Human Resources Management / Consultancy,Marketing / Public Relations > Management,30000
Sales Representative/พนักงานฝ่ายขาย,Entry Level,Golden Well International (Thailand) Company Limited,Bangkok,Diploma of High Vocational Education,3 years,"Freelance, Full Time",Wholesale / Retail,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Wholesale , Sales, CS & Business Devpt > Others",27500
Accounting Officer/เจ้าหน้าที่บัญชีทั่วไป,Entry Level,"Inter Corporation Co., Ltd./บริษัท อินเตอร์ คอร์ปอเรชั่น จำกัด",Talingchan,Diploma of High Vocational Education,1 year,Permanent,Medical / Pharmaceutical,Accounting > General Accounting,20500
ช่างซ่อมบำรุง (อุปกรณ์ที่ใช้ประกอบอาหารเเละทำเครื่องดื่ม),Entry Level,DKSH (Thailand) Limited : Business Unit - Technology,Prakanong,Diploma of High Vocational Education,20 years,Full Time,Trading and Distribution,Others > Technician,18000
Business Development Consultant(5 days work/High Salary Package/ Emquartier),Entry Level,"Linktrix Manpower (Thailand) Co., Ltd.",Bangkok,Degree,1 year,Full Time,Human Resources Management / Consultancy,Admin & HR > Recruitment / Executive Search,40000
Sales Representative Upcountry / พนักงานขายต่างจังหวัด ภาคเหนือ,"","JVCKENWOOD (Thailand) Co., Ltd.",Others,Degree,2 years,"Full Time, Permanent",Electronics / Electrical Equipment,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",18000
EXPORT OFFICER,"","CHUSILP GROUP TRADING CO., LTD.",Bangkok Area - Samutsakorn,Degree,2 years,Full Time,Manufacturing,"Sales, CS & Business Devpt > Customer Service , Transportation & Logistics > Export Import",20500
Billing Supervisor (Ayutthaya Branch),"","FIFTH CONSULTING CO., LTD.",Ayutthaya,Degree,4 years,"Full Time, Permanent",Human Resources Management / Consultancy,"Accounting > General Accounting , Accounting > Taxation",27500
International Sales and Business Development,"","Gold Elite Paris (Thailand) Co., Ltd.",Sathorn,Degree,3 years,"Full Time, Permanent",Trading and Distribution,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Account Servicing",67500
Online Sales Consultant,Middle,Teledirect Telecommerce Sdn Bhd,Overseas,Degree,1 year,Full Time,Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Call Centre",32500
R&D Division  Manager/ผู้จัดการแผนกR&D,Senior,"Pathawin Co., Ltd.",Pathumthani > Muang,Degree,4 years,"Contract, Full Time, Permanent",Health & Beauty Care,"Sciences, Lab, R&D > Research & Development (R&D)",45000
IT Support (0,Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,1 year,"Full Time, Permanent",Trading and Distribution,"Information Technology (IT) > Support , Information Technology (IT) > Network & System , Information Technology (IT) > Others",20500
Marketing Manager/Marketing Manager,Middle,"OneStockHome Co., Ltd.",Bangrak,Degree,2 years,Full Time,Architecture / Building / Construction,Marketing / Public Relations > Others,42500
Sales Coordinator (Fresh graduates are welcome),"","President Automobile Industries Co ., Ltd./บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด",Bangkok Area - Samutsakorn,Degree,N/A,"Full Time, Permanent",Manufacturing,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Account Servicing",20500
PH ACE Specialist (Pizza Hut Thailand),"",Thoresen Thai Agencies Public Company Limited,Pathumwan,Not Specified,Not Specified,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping,Others > Others,32500
Chinese Coordinator (Fresh graduates are welcome) /เจ้าหน้าที่ประสานงานต่างประเทศ (ภาษาจีน),"","President Automobile Industries Co ., Ltd./บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด",Bangkok Area - Samutsakorn,Degree,N/A,"Full Time, Permanent",Manufacturing,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Account Servicing",20500
Sales Engineer (URGENTLY REQUIRED !!),"","YJS Trading (Thailand) Co., Ltd.",Klongtoey,Degree,5 years,Full Time,Trading and Distribution,"Engineering > Manufacturing & Production , Engineering > Mechanical , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",37500
Bartender / บาร์เทนเดอร์,Entry Level,"OGU OGU, Innovative Japanese Eatery",Pathumwan,(N/A),1 year,Full Time,Hospitality / Catering,"Hospitality / F & B > F & B , Others > Others",11500
Production Planning Supervisor/หัวหน้าแผนกวางแผนการผลิต,"",JAC Recruitment Eastern Seaboard,Chonburi,Degree,4 years,Permanent,Manufacturing,"Engineering > Manufacturing & Production , Manufacturing > Production Planning / Control",27500
JAPANESE SPEAKING INTERPRETER&TRANSLATOR,Entry Level,JAC Recruitment Thailand,Bangkok,Degree,1 year,Full Time,Others,Others > Others,32500
Architect,Not Specified,"Mindscape Architect Co., Ltd.",Sathorn,Not Specified,Not Specified,Full Time,Architecture / Building / Construction,Design > Interior,32500
.NET DEVELOPER (Experienced),"",MOHARA,Prakanong,Degree,N/A,Full Time,Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > IT Project Management / Team Lead , Information Technology (IT) > Programming / Software Development",62500
เจ้าหน้าที่บัญชี,Entry Level,Grand Prix International Public Company Limited,Bangkhen,(N/A),Not Specified,Permanent,Media / Publishing / Printing,Accounting > General Accounting,30000
Receptionist/พนักงานต้อนรับ,Not Specified,"Spectrum Four's Co., Ltd.",Rajthevee,Not Specified,Not Specified,Full Time,Hospitality / Catering,Hospitality / F & B > Operation,16500
Accounting/เจ้าหน้าที่บัญชี,Entry Level,"OneStockHome Co., Ltd.",Bangrak,Degree,1 year,Full Time,Architecture / Building / Construction,Accounting > General Accounting,30000
Sales Executive (Many Position)/พนักงงานขาย (หลายอัตรา),"","Premium PLM Co., Ltd./บริษัท พรีเมียม พีแอลเอ็ม จำกัด",Yannawa,Degree,N/A,"Full Time, Permanent",Engineering - Others,"Sales, CS & Business Devpt > Business Development , Engineering > Industrial , Sales, CS & Business Devpt > Direct",22500
HR Executive (Payroll & Recruit)/เจ้าหน้าที่ฝ่ายทรัพยากรบุคคล (Payroll & Recruit),Not Specified,"TARNTANA CO., LTD.",Sathorn,Degree,3 years,"Full Time, Permanent",Trading and Distribution,"Admin & HR > Compensation & Benefits , Admin & HR > Recruitment / Executive Search",22500
IT Technician/Engineer,"","DELIVERY INTERNATIONAL THAI CO., LTD./บริษัท ดิลีเวอรี่ อินเตอร์เนชั่นแนล ไทย จำกัด",Others,Degree,2 years,Permanent,Information Technology,"Engineering > Others , Information Technology (IT) > Support , Information Technology (IT) > Network & System",32500
Food Merchandiser,Middle,ITM Alimentaire International,Pathumwan,Degree,3 years,Full Time,Wholesale / Retail,Merchandising & Purchasing > Procurement / Purchasing / Sourcing,37500
เจ้าหน้าที่สร้างสรรค์เนื้อหา – Content Creator Officer/เจ้าหน้าที่สร้างสรรค์เนื้อหา,Not Specified,Vcommerce,Pathumwan,Not Specified,Not Specified,"Full Time, Permanent",Information Technology,Marketing / Public Relations > Copy-writing,25500
Accounting Manager,Middle,"Gogoprint (Thailand) Co., Ltd.",Phayathai,Master,4 years,Full Time,Information Technology,Accounting > General Accounting,57500
Procurement Specialist ( 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Chemical / Plastic / Paper / Petrochemical,"Merchandising & Purchasing > Industrial , Merchandising & Purchasing > Merchandising - Others , Merchandising & Purchasing > Procurement / Purchasing / Sourcing",45000
Senior Programer,Senior,"THAI DESTINATION CO., LTD.",Bangna,Degree,3 years,Permanent,Tourism / Travel Agency,Information Technology (IT) > Programming / Software Development,37500
Application Specialist (BMT024),"","Biomedia (Thailand) Co., Ltd.",Bangyai,Degree,1 year,"Full Time, Permanent",Manufacturing,"Sciences, Lab, R&D > Life Science , Sales, CS & Business Devpt > Sales Management , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",25000
Sales Representative/เจ้าหน้าที่บริหารงานขายและการตลาด,Entry Level,I.D.E.A  (Infinite Development Expert Association Ltd.),Bangrak,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Media & Advertising > Strategic Planning , Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Others",20500
Senior HR Professional/ผู้เชี่ยวชาญด้าน HR,Middle,Triple Eight Property Limited,Chonburi,Degree,1 year,Permanent,General Business Services,"Admin & HR > Compensation & Benefits , Admin & HR > Employee Relations , Admin & HR > Recruitment / Executive Search",18000
Account Manager,Middle,Page Group Thailand,Bangkok,Degree,3 years,"Full Time, Permanent",Food and Beverage / Catering,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Channel / Distribution , Sales, CS & Business Devpt > Sales Management",95000
Site Finder / Store Development,"",Manarco Recruitment Limited,Bangkok,Degree,3 years,"Full Time, Permanent",Wholesale / Retail,Property > Property Management,95000
.Net Software Developer/ Programmer,Entry Level,"iBingo Consulting Co., Ltd.",Wattana,Degree,1 year,"Full Time, Permanent",Human Resources Management / Consultancy,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > DBA , Information Technology (IT) > Programming / Software Development",37500
Feed Ingredient Logistic Supervisor /Feed Ingredient Logistic Supervisor,"",Cargill Meats (Thailand) Limited,Saraburi,Degree,2 years,Full Time,Food and Beverage / Catering,"Transportation & Logistics > Freight Forwarding , Transportation & Logistics > Export Import",25500
เจ้าหน้าที่บัญชี (ประจำสำนักงานใหญ่),"","PPM Management Co., Ltd.",Wattana,Degree,2 years,Full Time,Management Consultancy / Service,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",25000
เจ้าหน้าที่บริหารงานโรงเรียนการขนส่ง,Entry Level,Land Transport Safety Bureau,Others,Degree,2 years,"Contract, Full Time",Freight Forwarding / Delivery / Shipping,"Marketing / Public Relations > Marketing General , Marketing / Public Relations > PR General , Marketing / Public Relations > Others",20500
Interpreter Japanese/ล่ามแปลภาษาญี่ปุ่น,"","OGUSU (THAILAND) CO., LTD.",Chonburi,Degree,2 years,Permanent,Manufacturing,Professional Services > Translation,40000
Internal Audit Manager,Senior,JAC AYUTTHAYA,Bangkok Area - Pathumthani,Degree,5 years,Full Time,Electronics / Electrical Equipment,Accounting > Audit,80000
Accounting&Finance Manager (Exp in Japanese Company is preferred/ Hold CPD) Rayong,"","Smartcruit Consultant Co., Ltd.",Rayong,Degree,8 years,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",95000
Key Account Manager (Tesco),"",Page Group Thailand,Others,Degree,2 years,"Full Time, Permanent",Others,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",105000
Finance Manager (10+yrs in Finance & Treasury Management/ Exp with SAP FI is advantage),Senior,"Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutprakarn,Degree,9 years,"Full Time, Permanent",Motor Vehicles,"Accounting > General Accounting , Accounting > Credit Control , Banking / Finance > Treasury",105000
Sales & Marketing Executive/ ฝ่ายขายและการตลาด,Middle,www.easybook.com (Easibook.com Pte Ltd - Thailand Branch),Eastern,Degree,3 years,"Contract, Full Time",Information Technology,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Marketing Communication",20500
Creative Art Director (PC VR 3D game)/ผู้ออกแบบ ศิลปะ เรื่องราว และ ธีมเกม  (เกม PC VR 3D),Top,MOTIONX STUDIO/โมชั่นเอ็กซ์ สตูดิโอ,Dindaeng,Degree,4 years,"Full Time, Permanent",Entertainment / Recreation,"Media & Advertising > Creative / Design , Design > Graphics , Information Technology (IT) > IT Project Management / Team Lead",87500
SENIOR JAVA SYSTEM ANALYST,"",PRTR Recruitment & Outsourcing,Bangkok,(N/A),N/A,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > DBA , Information Technology (IT) > Programming / Software Development",62500
Sales Manager / ผู้บริหารงานขาย 3 อัตรา,"",CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Degree,3 years,"Full Time, Permanent",Wholesale / Retail,"Sales, CS & Business Devpt > Channel / Distribution , Sales, CS & Business Devpt > Sales Management , Sales, CS & Business Devpt > Others",27500
Sales Executive (Urgently Required),Entry Level,"Orient Star International Logistics Co., Ltd.",Bangkoknoi,Degree,1 year,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping,"Transportation & Logistics > Freight Forwarding , Sales, CS & Business Devpt > Account Servicing , Transportation & Logistics > Export Import",20500
Sales Assistant Manager/ผู้ช่วยผู้จัดการฝ่ายขาย,"",JAC International,Sathorn,Degree,5 years,Full Time,Packaging,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Sales Management",57500
Admin Officer,Entry Level,"In Blossom Co.,Ltd.",Wangthonglang,Degree,Not Specified,"Full Time, Permanent",Wholesale / Retail,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Others",18000
Membership Consultant / Sales Consultant,Entry Level,DD Fitness,Phayathai,(N/A),N/A,Full Time,Athletics / Sports,"Beauty Care / Health > Spa Therapist / Fitness / Sports & Recreation , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",20500
Procurement Executive,"","Staffers Recruitment Consultants Co., Ltd.",Sathorn,Not Specified,Not Specified,Contract,Chemical / Plastic / Paper / Petrochemical,Merchandising & Purchasing > Procurement / Purchasing / Sourcing,35000
Admin/ธุรการ,"","Fit Together Co., Ltd.",Pathumwan,Degree,N/A,"Full Time, Permanent",Health & Beauty Care,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Others",14500
Senior Developer   ด่วน !!,"","Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > DBA , Information Technology (IT) > Programming / Software Development",52500
Online Marketing Officer/เจ้าหน้าที่การตลาดออนไลน์,"","Medy Celes Co., Ltd./บริษัท เมดิเซเลส จำกัด",Bangkoknoi,Degree,1 year,Permanent,Medical / Pharmaceutical,"Information Technology (IT) > Internet / SEO , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Marketing Communication",14500
Administrator Officer/ฝ่ายประสานงาน,"",S.K.J.Industries Company Limited,Wangthonglang,Degree,1 year,"Contract, Full Time",Chemical / Plastic / Paper / Petrochemical,Admin & HR > Administration / Operation / Clerical Support,18000
Software Engineer (8 positions),"","ESP Asian Center Co., Ltd.",Wattana,Degree,N/A,"Full Time, Permanent",Motor Vehicles,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > IT Project Management / Team Lead , Information Technology (IT) > Programming / Software Development",22500
Mobile Application Developer – Android and iOS,Not Specified,JAC International,Bangkok,Not Specified,1 year,"Full Time, Permanent",Human Resources Management / Consultancy,Information Technology (IT) > Programming / Software Development,45000
AR Supervisor (Urgently Required Job !),"","Manpower (Thailand) Co., Ltd.",Ladprao,Degree,3 years,"Full Time, Permanent",Financial Services,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",37500
Marketing Manager,Senior,"International Trade Coordinator (Thailand) Co., Ltd./บริษัท อินเตอร์เนชั่นแนล เทรด คอร์ดิเนอเตอร์ (ประเทศไทย) จำกัด",Bangkok,Not Specified,Not Specified,Permanent,Trading and Distribution,"Marketing / Public Relations > Management , Marketing / Public Relations > Others , Sales, CS & Business Devpt > Channel / Distribution",35000
Assistant Accounting Manager,"","grasia Bangkok Co., Ltd.",Klongtoey,Degree,2 years,Full Time,Advertising / Public Relations / Marketing Services,"Accounting > General Accounting , Accounting > Others , Admin & HR > Administration / Operation / Clerical Support",25000
HR Supervisor,Middle,"A M T FOOD CO., LTD.",Samutsongkhram,Degree,3 years,Full Time,Food and Beverage / Catering,"Admin & HR > Compensation & Benefits , Admin & HR > Recruitment / Executive Search , Admin & HR > Training & Development",32500
ผู้ช่วยฝ่ายขาย / Sale Admin (ได้เรียนรู้งานขายแบบครบถ้วน),"","Micron Promotion Co., Ltd.",Chomthong,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Manufacturing,"Admin & HR > Administration / Operation / Clerical Support , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Sales Management",16500
System Analyst/ Programmer (2+ yrs exp system development,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > IT Consulting",42500
Production Shift Supervisor,Middle,"Skillpower Services (Thailand) Co., Ltd.",Rayong,Degree,3 years,Permanent,Motor Vehicles,"Engineering > Chemical , Manufacturing > Manufacturing Management",30000
Graphic Design,Entry Level,kaewnawarat 1999 company,Chiang Rai,(N/A),N/A,Full Time,Athletics / Sports,"Design > Graphics , Design > Web Design , Information Technology (IT) > Internet / SEO",17500
Sales & Marketing Manager (Tourism&Hospitality 80K),Middle,Spring Professional Recruitment (Thailand) Limited,Wattana,Degree,5 years,Full Time,Tourism / Travel Agency,Marketing / Public Relations > Marketing General,62500
Oversea  Purchasing Manager  / Deputy Oversea  Purchasing Manager / Oversea  Purchasing Officer,Senior,"Food Project (Siam) Co., Ltd.",Yannawa,Degree,3 years,"Full Time, Permanent",Food and Beverage / Catering,Merchandising & Purchasing > Procurement / Purchasing / Sourcing,40000
Mechanical Engineer (45K – 70K,"",Adecco Eastern Seaboard Recruitment Ltd.,Chonburi,Not Specified,Not Specified,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical,"Building & Construction > Building / Construction / QS , Engineering > Engineering Project Management , Engineering > Mechanical",57500
Warehouse Manager (Logistics) /ผู้จัดการแผนกคลังสินค้า,Senior,JAC Recruitment Eastern Seaboard,Chonburi,Degree,7 years,"Full Time, Permanent",Trading and Distribution,Transportation & Logistics > Inventory / Warehousing,57500
Marketing การตลาดงานอีเว้นท์/พิจารณาเมื่อแนบไฟล์ผลงานเข้ามาเท่านั้น,Not Specified,"BIG CREATIVE CO., LTD.",Chiang Mai,Not Specified,Not Specified,"Full Time, Part Time, Permanent",Advertising / Public Relations / Marketing Services,"Information Technology (IT) > Internet / SEO , Marketing / Public Relations > Management , Marketing / Public Relations > Marketing General",22500
Quality Programs Compliance Manager,Middle,"Indo-Siam Technical Services Co., Ltd.",Ayutthaya,Degree,2 years,"Full Time, Permanent",Manufacturing,"Manufacturing > Production Planning / Control , Manufacturing > Others , Manufacturing > Quality Assurance, Control & Testing / ISO",40000
Assistant Sales Manager/ผู้ช่วยผู้จัดการฝ่ายขาย,"","KZ - Pranda Co., Ltd./เคแซด - แพรนด้า จำกัด",Klongtoey,Degree,3 years,"Full Time, Permanent",Trading and Distribution,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Transportation & Logistics > Export Import",27500
HR/พนักงานบุุคคล,"","Wellness City Co., Ltd.",Ayutthaya,Degree,N/A,"Full Time, Permanent",Medical / Pharmaceutical,Medical Services > Specialist,11500
Customer Service Officer (Automotive Business),Entry Level,"Cobra International Co., Ltd.",Chonburi,Degree,3 years,Full Time,Athletics / Sports,"Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Sales Management , Transportation & Logistics > Export Import",37500
System Engineer,Entry Level,Vizrt (Thailand) Ltd.,Bangkok Area - Nonthaburi,Degree,3 years,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Engineering > Engineering Project Management , Engineering > Others , Sciences, Lab, R&D > Research & Development (R&D)",50000
System Analyst,"","NTT DATA (Thailand) Co., Ltd.",Bangrak,Degree,3 years,"Full Time, Permanent",Information Technology,Information Technology (IT) > Others,45000
System Engineer,Entry Level,Vizrt (Thailand) Ltd.,Bangkok Area - Nonthaburi,Degree,3 years,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Engineering > Engineering Project Management , Engineering > Others , Sciences, Lab, R&D > Research & Development (R&D)",50000
Programmer (PHP)/โปรแกรมเมอร์,"",บริษัท สปอทเวิร์คซ์(ประเทศไทย) จำกัด,Pathumwan,Degree,2 years,Permanent,Information Technology,Information Technology (IT) > Programming / Software Development,25000
Accounting Officer/เจ้าหน้าที่บัญชี,Entry Level,"TS Boarding House Co., Ltd.",Wangthonglang,(N/A),N/A,Full Time,Tourism / Travel Agency,Accounting > General Accounting,20500
Civil Engineer Bangsan Project /วิศวกรโยธา บางแสน จ.ชลบุรี,Middle,"Fifth Development Co., Ltd.",Chonburi,Degree,5 years,Permanent,Property Development,Building & Construction > Building / Construction / QS,37500
เลขานุการ ฝ่ายทรัพยากรบุคคล,Middle,Thamada Bangkok Company Limited,Bangna,Degree,2 years,Full Time,Others,Admin & HR > Secretary / Personal Assistant,27500
Site Engineer,"","KP plan construction Co.,Ltd./บริษัทเคพี แปลน คอนสตรัคชั่นจำกัด",Bangkok,Degree,N/A,Permanent,"Engineering - Building, Civil, Construction / Quantity Survey","Building & Construction > Building / Construction / QS , Engineering > Engineering Project Management , Engineering > Others",20500
Sales Executive,"","Bookdose Co., Ltd./บริษัท บุ๊คโดส จำกัด (Bookdose Co., Ltd.)",Prakket,Degree,N/A,"Contract, Full Time",Information Technology,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Sales Management , Sales, CS & Business Devpt > Others",37500
Digital Marketing Executive,Middle,Direct Executive Education Pte Ltd,Bangkok,Not Specified,2 years,"Freelance, Full Time, Part Time",Wholesale / Retail,"Education > Others , Beauty Care / Health > Others , Marketing / Public Relations > Marketing Communication",22500
Accounting [Officer,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical,"Accounting > General Accounting , Accounting > Credit Control , Accounting > Taxation",35000
Financial & Accounting Senior Officer.,"","S and L Specialty Polymers Co., Ltd.",Rayong,Degree,3 years,"Full Time, Permanent",Chemical / Plastic / Paper / Petrochemical,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",50000
Admin,"",A PLUS PARTNER COMPANY LIMITED,Eastern,Diploma of High Vocational Education,N/A,Full Time,Manufacturing,Admin & HR > Administration / Operation / Clerical Support,16500
Online Sales & Marketing Officer,Entry Level,PRTR Recruitment & Outsourcing,Bangkok,Degree,1 year,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Internet / SEO , Marketing / Public Relations > Marketing Communication , Sales, CS & Business Devpt > Others",22500
Administrator/Co,Entry Level,"Group 24/7 Worldwide (Thailand) Co., Ltd.",Bangkapi,Degree,N/A,Full Time,Interior Design / Graphic Design,"Admin & HR > Administration / Operation / Clerical Support , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Account Servicing",20500
Japanese Interpreter (Urgent),Not Specified,"Keyence (Thailand ) Co., Ltd.",Huaykwang,Not Specified,Not Specified,"Contract, Full Time",Engineering - Electrical / Electronic / Mechanical,Professional Services > Translation,80000
Japanese Speaking Admin&HR **Fresh Graduated are welcome**,"",JAC Recruitment Thailand,Phrachinburi,Degree,N/A,Full Time,Motor Vehicles,Professional Services > Translation,40000
Senior HR Officer(Compensation&Benefits),"","ZTE (Thailand) Co., Ltd.",Sathorn,Degree,2 years,"Contract, Full Time",Telecommunication,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Compensation & Benefits , Admin & HR > Recruitment / Executive Search",50000
ผู้จัดการเขตฝ่ายขาย,"","GOLD MASTER (PUBLIC) CO., LTD.",Bangkok,Degree,3 years,Permanent,Jewellery / Gems / Watches,"Sales, CS & Business Devpt > Sales Management",22500
Senior programmer (C#,"",Quantium Technology,Prakanong,Degree,3 years,Full Time,Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > Others",72500
Network Security Engineer – When Network & Security Converge,Not Specified,Cathcart Associates Asia Recruitment Ltd.,Sathorn,Degree,5 years,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Security , Information Technology (IT) > Network & System",80000
