title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Producer,"","1577 Home Shopping Co., Ltd.",Bangkapi,Degree,2 years,Full Time,Trading and Distribution,"Media & Advertising > Creative / Design , Marketing / Public Relations > Marketing Communication , Media & Advertising > Broadcasting - TV / Radio",22500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Accountant ( AR,"","ETA (Thailand) Co., Ltd.",Bangsaotong,Degree,3 years,"Full Time, Permanent",Manufacturing,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",40000
LEAD ACCOUNTANT [100K+],"",JAC International,Bangkok,Degree,5 years,"Full Time, Permanent",Trading and Distribution,"Accounting > General Accounting , Accounting > Audit , Accounting > Others",140000
CRM Officer (The 1 Card),"",Central Group (Supporting Unit),Pathumwan,Degree,2 years,"Full Time, Permanent",Wholesale / Retail,"Sales, CS & Business Devpt > Customer Service",30000
Brand Manager/ Product Manager,"","Asian Leaders Career Recruitment Co., Ltd.",Bangkok,Degree,5 years,Full Time,Hospitality / Catering,Medical Services > Pharmaceutical,105000
Deputy  General Manager,"","FIFTH CONSULTING PLACEMENT CO., LTD.",Bangrak,Degree,20 years,Full Time,Manufacturing,"Management > Top Executives (CEO, CFO, CTO, GM, MD etc.)",105000
Accounting Assistant Manager (5 yrs in AP,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Motor Vehicles,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",50000
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Database Analyst and Salesforce Specialist,"","Tangible Solutions Co., Ltd.",Wattana,Degree,3 years,Full Time,Advertising / Public Relations / Marketing Services,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Internet / SEO , Information Technology (IT) > Programming / Software Development",45000
GRAPHICS ARTIST,"","The Tigris Moon Co.,Ltd",Chiang Mai,Degree,2 years,"Full Time, Permanent",Clothing / Garment / Textile,"Media & Advertising > Creative / Design , Design > Graphics , Design > Industrial / Product",20500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
SALES / BUSINESS DEVELOPMENT MANAGER,"","Pevonia (Thailand) Co., Ltd./พีโวเนีย (ประเทศไทย) จำกัด",Bangkok,Degree,5 years,"Contract, Full Time, Permanent",Health & Beauty Care,"Beauty Care / Health > Spa Therapist / Fitness / Sports & Recreation , Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Marketing General",32500
Area Manager,Senior,Daddy Reno Company Limited,Bangkok,Degree,1 year,Full Time,Architecture / Building / Construction,"Sales, CS & Business Devpt > Business Development , Building & Construction > Building / Construction / QS , Others > Student / Fresh Graduate / No Experience",20500
Business Development Manager,"","Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Architecture / Building / Construction,"Sales, CS & Business Devpt > Business Development , Building & Construction > Building / Construction / QS , Engineering > Engineering Project Management",72500
Electrical Engineer  / วิศวกรไฟฟ้า/วิศวกรไฟฟ้า,"","Si Q&E Co., Ltd./บริษัท ซี คิวแอนด์ อี",Jatuchak,Degree,3 years,"Contract, Full Time, Part Time, Permanent","Engineering - Building, Civil, Construction / Quantity Survey","Building & Construction > Civil / Structural , Engineering > Electrical / Electronics , Engineering > Others",27500
System Analyst    ด่วน !!,"","Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > DBA , Information Technology (IT) > MIS",37500
Director of Innovation Practice,"",Spring Professional Recruitment (Thailand) Limited,Sathorn,Degree,5 years,Full Time,Human Resources Management / Consultancy,Professional Services > Business Consultancy,140000
Human Resoure staff/เจ้าหน้าที่บุคคล,Entry Level,"Thonglor Dental Hospital Co., Ltd.",Bangna,Degree,2 years,Permanent,Medical / Pharmaceutical,Admin & HR > Recruitment / Executive Search,18000
Executive Company Secretary ( Lad Krabang) 50,"",MRI Worldwide Recruitment (Thailand) Ltd.,Ladkrabang,Degree,3 years,Full Time,Chemical / Plastic / Paper / Petrochemical,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Others",57500
Office Admin/ Business Development Assistant (3 Positions),Middle,"FLIGHT CONCIERGE GROUP CO., LTD.",Wattana,Degree,1 year,"Contract, Full Time, Permanent",Tourism / Travel Agency,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Hospitality / F & B > Tourism / Travel Agency",32500
C#,"","Harmonious Co., Ltd.",Jatuchak,Degree,1 year,Full Time,Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > IT Consulting",35000
Senior HR officer,"","Keyence (Thailand ) Co., Ltd.",Huaykwang,Degree,5 years,"Full Time, Permanent",Electronics / Electrical Equipment,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Recruitment / Executive Search , Admin & HR > Training & Development",57500
HR & Admin Manager / IT Consulting,"",RSM Recruitment (Thailand) Limited,Bangkok,Degree,7 years,Full Time,Human Resources Management / Consultancy,"Admin & HR > Compensation & Benefits , Admin & HR > Recruitment / Executive Search , Admin & HR > Training & Development",105000
Business Development Manager,"","Skillpower Services (Thailand) Co., Ltd.",Huaykwang,Diploma of High Vocational Education,2 years,Full Time,Wholesale / Retail,"Sales, CS & Business Devpt > Business Development",105000
Big Bike service Manager/หัวหน้าช่าง,Middle,"Sirichai Motorsales Co., Ltd.",Lopburi,Diploma of High Vocational Education,3 years,Permanent,Motor Vehicles,Others > Technician,14500
QA Engineer/วิศวกรประกันคุณภาพ,Entry Level,"M.J. Bangkok Valve & Fitting Co., Ltd.",Bangplee,Degree,3 years,Full Time,Trading and Distribution,"Engineering > Manufacturing & Production , Engineering > Mechanical , Engineering > Others",22500
Technical Service Sales Engineer ( 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,3 years,Full Time,"Engineering - Building, Civil, Construction / Quantity Survey","Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",45000
Technical Assistant IV,Entry Level,"Adisorn Songkhla Co., Ltd./บริษัท อดิสรสงขลา จำกัด",Bangkok,Degree,2 years,Full Time,Manufacturing,Admin & HR > Secretary / Personal Assistant,50000
ASSISTANT IT SOFTWARE DEVELOPMENT MANAGER,Middle,PRTR Recruitment & Outsourcing,Bangyai,Degree,3 years,"Full Time, Permanent",Wholesale / Retail,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > IT Project Management / Team Lead , Information Technology (IT) > Programming / Software Development",95000
พนักงานคลังสินค้า (สาขาลำพูน),"",CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Wholesale / Retail,"Transportation & Logistics > Others , Transportation & Logistics > Inventory / Warehousing",14500
Domestic Sales Account Executive / พนักงานขาย,Entry Level,"Thai Pet Industrial Co., Ltd.",Nongkhaem,Degree,N/A,Permanent,Packaging,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",14500
Sr. Account Receivable Officer,"","Major Development Estate Co., Ltd./เมเจอร์ดีเวลลอปเม้นท์เอสเตท จำกัด",Wattana,Degree,2 years,"Full Time, Permanent",Property Development,Accounting > General Accounting,40000
Admin Manager,Middle,"The Best Beginning Co., Ltd.",Klongtoey,Degree,N/A,Full Time,Health & Beauty Care,Admin & HR > Administration / Operation / Clerical Support,22500
IT Project Manager <<Japanese Speaking>>,Senior,Adecco Recruitment (Thailand) Limited,Bangkok,Degree,Not Specified,Full Time,Human Resources Management / Consultancy,Information Technology (IT) > IT Project Management / Team Lead,105000
Customer Service Officer (Thai Speaking),Entry Level,"Global B2B Consultancy, Inc.",Overseas,Degree,Not Specified,Full Time,Information Technology,"Sales, CS & Business Devpt > Customer Service",32500
Accounting & Finance Manager (Exp from Leasing,Senior,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,10 years,"Full Time, Permanent",Financial Services,"Accounting > General Accounting , Accounting > Audit , Accounting > Taxation",105000
Accountant / พนักงานบัญชี,"","Revomed (Thailand) Co.,Ltd./บริษัท รีโว่เมด (ไทยแลนด์) จำกัด",Nonthaburi > Muang,Degree,N/A,"Full Time, Permanent",Manufacturing,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",20500
พนักงานขายตู้เซฟประจำโฮมโปรภูเก็ตถลาง,Not Specified,JPC Power Retail Company Limited,Phuket,Not Specified,Not Specified,Permanent,Human Resources Management / Consultancy,"Sales, CS & Business Devpt > Account Servicing",15000
Account Executive / Account Manager ( Based in Koh Samui),"","Navigo Samui Co., Ltd.",Surat Thani,Degree,N/A,Full Time,Tourism / Travel Agency,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Sales Management",27500
Project Manager/ผู้จัดการโครงการ,Not Specified,"T W S T Co., Ltd.",Bangkor-laem,Not Specified,Not Specified,"Full Time, Permanent",Food and Beverage / Catering,"Management > Top Executives (CEO, CFO, CTO, GM, MD etc.)",32500
Recruitment Lead,Middle,en world Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Human Resources Management / Consultancy,Admin & HR > Recruitment / Executive Search,62500
Production Manager (Chemical),"","Gemini Personnel Recruitment Co., Ltd.",Chonburi,Not Specified,Not Specified,Permanent,Chemical / Plastic / Paper / Petrochemical,Manufacturing > Others,80000
Brand Manager,Not Specified,"AK 91 GROUP CO., LTD.",Ladprao,Not Specified,Not Specified,Full Time,Wholesale / Retail,Marketing / Public Relations > Brand / Product Management,32500
Asst. Purchase Manager (Domestics),"",Cosmo Group Public Company Limited,Bangkok,Degree,5 years,Full Time,Jewellery / Gems / Watches,"Engineering > Maintenance , Merchandising & Purchasing > Industrial , Merchandising & Purchasing > Procurement / Purchasing / Sourcing",45000
HR & GA Manager,"",JAC Recruitment Eastern Seaboard,Chonburi,Degree,8 years,Full Time,Human Resources Management / Consultancy,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Compensation & Benefits , Admin & HR > Employee Relations",57500
Design and Development Engineer,Middle,"Autopack Co., Ltd.",Bangkok Area - Nakornpatom,Degree,7 years,"Full Time, Permanent",Manufacturing,"Design > Industrial / Product , Engineering > Engineering Project Management , Engineering > Mechanical",57500
Sales Executive,"","V.Greatpremium Co., Ltd.",Huaykwang,Degree,1 year,Full Time,Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Wholesale , Sales, CS & Business Devpt > Others",32500
Rollout Manager,"","ZTE (Thailand) Co., Ltd.",Sathorn,Degree,5 years,Contract,Telecommunication,"Telecomm > Telecommunications Technical support , Telecomm > Others",72500
Assistant Programmes Manager,"",British Council Thailand,Pathumwan,Degree,1 year,"Full Time, Permanent",Education,Education > Others,37500
Accounting & Finance Manager / Retail & Manufacturing Experience (120,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,5 years,Full Time,Accounting / Audit / Tax Services,"Accounting > General Accounting , Accounting > Credit Control , Banking / Finance > Corporate Finance",140000
SEO Specialist,Entry Level,NEXTEC CONSTRUCTION AND DESIGN COMPANY LIMITED,Central,Diploma of High Vocational Education,N/A,"Contract, Freelance, Full Time, Part Time, Permanent, Temporary","Engineering - Building, Civil, Construction / Quantity Survey","Information Technology (IT) > Internet / SEO , Marketing / Public Relations > Marketing Communication",27500
Project Team Leader – Plastics Department (Japanese Speaker),Senior,"Manpower (Thailand) Co., Ltd.",Bangrak,Degree,10 years,"Full Time, Permanent",Electronics / Electrical Equipment,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Channel / Distribution , Sales, CS & Business Devpt > Wholesale",72500
SALES MANAGER,"","Vitahealth (Thailand) Co., Ltd.",Others,Degree,5 years,Full Time,Health & Beauty Care,"Sales, CS & Business Devpt > Sales Management",30000
Senior Programmer Analyst,"",en world Thailand,Rayong,Degree,5 years,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > Others",62500
Pre,Middle,R T S (2003) Company Limited,Bangkok,Degree,3 years,Full Time,Information Technology,"Information Technology (IT) > Hardware , Information Technology (IT) > Application Specialist - Network , Information Technology (IT) > Network & System",40000
Supply Assistant / Sales person,"",RLC RECYCLING LTD/RLC RECYCLING LTD.,Bangsaotong,(N/A),N/A,"Full Time, Part Time, Permanent",Others,"Marketing / Public Relations > Management , Others > Skill worker , Others > Student / Fresh Graduate / No Experience",37500
Sale TT/พนักงานขายเครดิต ( ภาคเหนือ,"","Bio-Woman Co., Ltd.",Bangkapi,High School Certificate,2 years,Permanent,Trading and Distribution,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Wholesale",40000
เจ้าหน้าที่ Sale Service ประจำ จังหวัด นครราชสีมา  จำนวน 1 อัตรา,"","Hexa Ceram Co., Ltd.",Nakhon Ratchasima,Degree,1 year,"Full Time, Permanent",Manufacturing,"Sales, CS & Business Devpt > Customer Service",13000
Marketing Executive,Entry Level,"The Mall Group Co., Ltd.",Bangkapi,Degree,1 year,Full Time,Wholesale / Retail,"Marketing / Public Relations > Management , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Marketing Communication",32500
Sales Manager / 中文销售经理/เซลล์ภาษาจีน,Entry Level,"CN THAI CO., LTD.",Chiang Mai,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Property Management / Consultancy,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Sales Management",21500
Accounting  Officer,Entry Level,IPG Advertising (Thailand) Ltd.,Bangrak,Degree,1 year,"Full Time, Permanent",Media / Publishing / Printing,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",25000
Oversea Support Control & Coordinator (Japanese Speaking),"",Adecco Japanese,Ladkrabang,Degree,1 year,Full Time,Motor Vehicles,Admin & HR > Administration / Operation / Clerical Support,27500
Sale Manager Regional Management   ภาคเหนือตอนบน,"",True Corporation Public Company Limited,Northern,Degree,5 years,Permanent,Telecommunication,"Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Sales Management",50000
Purchase Oversea  Administrator/ธุรการฝ่ายจัดซื้อต่างประเทศ,Entry Level,"Intergoods Co., Ltd.",Suanluang,Degree,1 year,"Full Time, Permanent",Trading and Distribution,"Transportation & Logistics > Shipping , Merchandising & Purchasing > Industrial , Transportation & Logistics > Export Import",18000
Lead Architect,"","Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,10 years,Permanent,Architecture / Building / Construction,"Building & Construction > Architectural Services , Design > Industrial / Product , Building & Construction > Building / Construction / QS",62500
Business Development Manager /ผู้จัดการพัฒนาธุรกิจ/ผจก.พัฒนาธุรกิจ,"","VRP Food and Bakery Co., Ltd.",Kanchanaburi,(N/A),3 years,"Full Time, Permanent",Food and Beverage / Catering,"Management > General Management , Marketing / Public Relations > Brand / Product Management , Sales, CS & Business Devpt > Sales Management",27500
Senior programmer (C#,"",Quantium Technology,Prakanong,Degree,3 years,Full Time,Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > Others",72500
Event Sales and Marketing/ตัวแทนงานฝ่ายการขายและการตลาด (อีเว้นท์),Not Specified,"Phenomenon Enterprise Co., Ltd.",Klongtoey,Degree,N/A,"Freelance, Full Time, Part Time",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Customer Service , Admin & HR > Training & Development , Sales, CS & Business Devpt > Account Servicing",25000
Sales Property Manager wanted,Senior,"Siam MT Co., Ltd.",Klongtoey,Degree,5 years,"Full Time, Permanent",Property Management / Consultancy,"Management > General Management , Property > Property Consultancy , Sales, CS & Business Devpt > Sales Management",62500
Chinese Interpreter/ล่ามภาษาจีน,Entry Level,"CELERAISE (THAILAND) CO., LTD.",Chonburi,Degree,1 year,"Full Time, Permanent",Electronics / Electrical Equipment,"Manufacturing > Others , Professional Services > Translation , Others > Others",25000
Graphic Designer / Packaging,"",RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,3 years,Full Time,Manufacturing,"Design > Graphics , Design > Industrial / Product",37500
Production Manager (Chemical),"","Gemini Personnel Recruitment Co., Ltd.",Rayong,Not Specified,Not Specified,Permanent,Chemical / Plastic / Paper / Petrochemical,Engineering > Chemical,140000
Sales Representative and Export Sales Executive /พนักงานขายและพนักงานขายต่างประเทศ,Entry Level,"Sand and Soil Industry Co., Ltd.",Bangna,Degree,1 year,"Full Time, Permanent",Chemical / Plastic / Paper / Petrochemical,"Marketing / Public Relations > Marketing General , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Channel / Distribution",32500
Web Programmer/Web Programmer,"","Raja Ferry Port Public Co., Ltd.",Huaykwang,Degree,N/A,"Full Time, Permanent",Mass Transportation,"Information Technology (IT) > Internet / SEO , Information Technology (IT) > Programming / Software Development",37500
Presales Specialist (Manager Level: Security/ Network & System / Cloud) (Up to 70K / BTS / MRT Line),Middle,"Linktrix (Thailand) Co., Ltd.",Wattana,Degree,7 years,"Full Time, Permanent",Telecommunication,"Information Technology (IT) > Network & System , Sales, CS & Business Devpt > Technical Sales / Sales Engineer , Telecomm > Systems Security",57500
Sales Representative (ภายนอก)/เจ้าหน้าที่ขาย ภายนอก,"",Naravee Kanpat Company Limited,Bangna,Degree,N/A,Permanent,Health & Beauty Care,"Beauty Care / Health > Spa Therapist / Fitness / Sports & Recreation , Marketing / Public Relations > Marketing Communication , Sales, CS & Business Devpt > Account Servicing",18000
Associate,Entry Level,Ekkamai Limited,Prakanong,Degree,1 year,Full Time,General Business Services,"Admin & HR > Administration / Operation / Clerical Support , Media & Advertising > Strategic Planning , Marketing / Public Relations > Marketing General",42500
Agency Development Executive (ADE) สงขลา/ชุมพร /ระนอง /ประจวบคีรีขันธ์,Middle,"Skillpower Services (Thailand) Co., Ltd.",Songkhla,Degree,2 years,"Full Time, Permanent",Insurance / Pension Funding,"Banking / Finance > Others , Insurance > Others , Banking / Finance > Bancassurance",50000
Marketing Manager/ผู้จัดการฝ่ายการตลาด,"","Boat Pattana Co., Ltd.",Phuket,Degree,5 years,Full Time,Property Development,"Marketing / Public Relations > Management , Property > Property Management",62500
Personal Assistant to MD,"","WARRIX SPORT CO., LTD.",Pathumwan,Degree,3 years,Permanent,Clothing / Garment / Textile,Management > General Management,25000
Programmer,"","Shining Gold Bullion Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Jewellery / Gems / Watches,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Support , Information Technology (IT) > Programming / Software Development",22500
Club Services Coordinator (Customer Services,Entry Level,Anantara Vacation Club,Bangkok,High School Certificate,1 year,"Full Time, Permanent",Hospitality / Catering,"Sales, CS & Business Devpt > Call Centre , Sales, CS & Business Devpt > Customer Service , Hospitality / F & B > Management",25000
Public Relation Officer/เจ้าหน้าที่สัมพันธ์,"",German-Southeast Asian Center of Excellence for Public Policy and Good Governance (CPG),Bangkok,Degree,Not Specified,Full Time,Charity / Social Services / Non-Profit Organisation,"Admin & HR > Administration / Operation / Clerical Support , Design > Web Design , Public / Civil > Social Services / Non-profit Organization",20500
UI/UX Designer,"",Dash Research Asia,Klongtoey,Degree,Not Specified,Full Time,Information Technology,"Design > Graphics , Design > Web Design , Information Technology (IT) > Others",50000
Assistance Manager,Middle,BASF - Asia Pacific,Klongtoey,Degree,3 years,Full Time,Chemical / Plastic / Paper / Petrochemical,"Accounting > General Accounting , Banking / Finance > Analysis , Banking / Finance > Corporate Finance",80000
Digital Marketing Manager,"",American Global Taxplan Limited,Pathumwan,Degree,2 years,Full Time,Accounting / Audit / Tax Services,"Media & Advertising > Creative / Design , Marketing / Public Relations > Marketing Communication , Marketing / Public Relations > Copy-writing",30000
นวทรรศน์ กำลังมองหา Travel Business Developer ( Tour Outbound ) มาร่วมงานกับเรา,Senior,"Navatas Hospitality Co., Ltd.",Pathumwan,Degree,3 years,"Full Time, Permanent",Hospitality / Catering,"Hospitality / F & B > Operation , Hospitality / F & B > Others , Hospitality / F & B > Tourism / Travel Agency",45000
International Buyer/เจ้าหน้าที่จัดซื้อต่างประเทศ,Entry Level,"Vgadz Corporation Co.,Ltd./บริษัท วีแกดซ์ คอร์ปอเรชั่น จำกัด",Huaykwang,Degree,3 years,"Full Time, Permanent",Wholesale / Retail,"Transportation & Logistics > Shipping , Merchandising & Purchasing > Merchandising - Others , Transportation & Logistics > Export Import",25000
Digital Marketing Executive/ผู้บริหารการตลาดดิจิตอล,Entry Level,"GLOBAL HEALTHCARE INNOVATION CO., LTD.",Talingchan,Degree,2 years,Permanent,Health & Beauty Care,"Information Technology (IT) > Internet / SEO , Marketing / Public Relations > Management , Marketing / Public Relations > Event Marketing",22500
Software Compatibility Tester,"","Draycir Co., Ltd.",Wattana,Degree,1 year,Full Time,Information Technology,Information Technology (IT) > Testing / QA,32500
Marketing Manager  Chinese /Eng/ฝ่ายการตลาด จีน,Entry Level,"CN THAI CO., LTD.",Chiang Mai,Degree,N/A,Full Time,Property Management / Consultancy,"Sales, CS & Business Devpt > Account Servicing",25500
Logistics Improvement Assistant Manager (Exp in Logistics Sales & Improving/ Good English),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,8 years,"Full Time, Permanent",Electronics / Electrical Equipment,"Transportation & Logistics > Inventory / Warehousing , Transportation & Logistics > Supply Chain , Transportation & Logistics > Export Import",50000
Customer Service Officer,Entry Level,"Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,1 year,Full Time,Media / Publishing / Printing,"Sales, CS & Business Devpt > Call Centre , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Tele-sales (Telemarketing)",22500
Finance and Accounting Manager/ผู้จัดการฝ่ายบัญชีและการเงิน,Senior,PM Group Company Limited,Klongtoey,Degree,5 years,"Full Time, Permanent",Food and Beverage / Catering,"Accounting > General Accounting , Accounting > Audit , Accounting > Taxation",50000
Marketing Executive,"","AUTO BUSINESS CORPORATION CO., LTD.",Bangkok,Degree,N/A,"Full Time, Permanent",Others,"Marketing / Public Relations > Management , Marketing / Public Relations > Brand / Product Management , Marketing / Public Relations > Others",50000
Android Developer/iOS Developer,Not Specified,"Asian Star Trading Co., Ltd.",Wattana,Degree,Not Specified,"Contract, Full Time, Permanent",Trading and Distribution,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",40000
Quality Assurance Engineer (fresh graduate welcome),Entry Level,RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,1 year,Full Time,Human Resources Management / Consultancy,"Engineering > Manufacturing & Production , Engineering > Mechanical",25000
Senior Software Tester / Senior Technical Engineer/ผู้ทดสอบซอฟต์แวร์อาวุโส,"","Vasglobalnetwork Co.,Ltd./แวส โกลบอล เน็ตเวิร์ค จำกัด",Pathumwan,Not Specified,2 years,"Full Time, Permanent",Information Technology,Information Technology (IT) > Testing / QA,40000
Senior Accounting Consultant (Up to 40k/BTS Line),Middle,"Linktrix (Thailand) Co., Ltd.",Sathorn,Degree,5 years,"Full Time, Permanent",Accounting / Audit / Tax Services,Accounting > Audit,40000
Project sales manager: NO.1 Building Construction Firm,Middle,Page Group Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Architecture / Building / Construction,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Others , Sales, CS & Business Devpt > Direct",95000
Senior Accounting Consultant (Up to 40k/BTS Line),Middle,"Linktrix (Thailand) Co., Ltd.",Sathorn,Degree,5 years,"Full Time, Permanent",Accounting / Audit / Tax Services,Accounting > Audit,40000
Administrator,"","Skillpower Services (Thailand) Co., Ltd.",Pathumwan,Degree,2 years,"Contract, Full Time, Permanent, Temporary",Chemical / Plastic / Paper / Petrochemical,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Others , Admin & HR > Compensation & Benefits",27500
Project Administrative Officer (Chinese speaking),"","ZHONGXIA INTERNATIONAL (THAILAND) CO., LTD./บริษัท จงเซี้ย อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด",Sathorn,Degree,N/A,Full Time,Property Development,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Property > Property Management",25000
Inventory administrator/Inventory administrator,"","Namino Co., Ltd.",Bangkok,(N/A),1 year,"Full Time, Internship, Part Time, Permanent",Health & Beauty Care,"Accounting > Others , Transportation & Logistics > Inventory / Warehousing",22500
HEAD OF RETAIL,Senior,Trendz 360 Pte. Ltd.,Others,Degree,4 years,Full Time,Wholesale / Retail,"Sales, CS & Business Devpt > Retail Sales",105000
Programmer and Programmer Analyst ด่วน !!,"","Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Others > Student / Fresh Graduate / No Experience",30000
แม่บ้าน พ่อบ้านโรงแรม จำนวน 5 ตำแหน่ง,"","PEAK NIMMAN CO., LTD.",Chiang Mai,(N/A),N/A,"Full Time, Permanent",Hospitality / Catering,"Hospitality / F & B > Others , Others > Others",7500
Compliance Process Manager 100,Senior,Fircroft (Thailand) Limited,Bangkok,Degree,5 years,Full Time,Electronics / Electrical Equipment,"Accounting > Audit , Accounting > Others , Professional Services > Legal & Compliance",105000
Accounting Admin **ธุรการบัญชี ใข้Expressได้**,"",PKP Electric/พีเคพี การไฟฟ้า,Pomprab,Diploma of High Vocational Education,Not Specified,"Permanent, Temporary",Trading and Distribution,"Accounting > Others , Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Others",11500
Claim Call Center Agent/เจ้าหน้าที่รับแจ้งอุบัติเหตุ,Entry Level,"ANYWHERE 2 GO CO., LTD.",Dindaeng,High School Certificate,N/A,Full Time,Information Technology,"Sales, CS & Business Devpt > Call Centre , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Others",14500
Sales & Marketing Manager,Entry Level,"S&D International Co., Ltd.",Bangkok,Degree,1 year,Contract,General Business Services,"Marketing / Public Relations > Marketing General , Marketing / Public Relations > Market Research , Marketing / Public Relations > Others",37500
Business Development Consultant(5 days work/High Salary Package/ Emquartier),Entry Level,"Linktrix Manpower (Thailand) Co., Ltd.",Bangkok,Degree,1 year,Full Time,Human Resources Management / Consultancy,Admin & HR > Recruitment / Executive Search,40000
QA Senior Supervisor/หัวหน้าแผนกประกันคุณภาพ,"","Posh Medica International (Thailand) Co., Ltd.",Kannayao,Not Specified,Not Specified,Full Time,Health & Beauty Care,Manufacturing > Manufacturing Management,23000
Technical Engineer/วิศวกรด้านเทคนิค,"","M.J. Bangkok Valve & Fitting Co., Ltd.",Bangplee,Degree,1 year,Full Time,Trading and Distribution,"Engineering > Industrial , Engineering > Manufacturing & Production , Engineering > Mechanical",30000
Software Developer (JAVA),Middle,"NTT DATA (Thailand) Co., Ltd.",Klongtoey,Degree,1 year,"Full Time, Permanent",Information Technology,Information Technology (IT) > Programming / Software Development,27500
