title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Sales Assistant Manager/ผู้ช่วยผู้จัดการฝ่ายขาย,"",JAC International,Sathorn,Degree,5 years,Full Time,Packaging,CS & Business Devpt,57500
.Net Software Developer/ Programmer,Entry Level,"iBingo Consulting Co., Ltd.",Wattana,Degree,1 year,"Full Time, Permanent",Human Resources Management,Programming,37500
Car Care Staff,"",whisper executive car detailing,Phayathai,(N/A),Not Specified,"Full Time, Permanent",Motor Vehicles,No Experience,13000
Senior Social Media Specialist,"","Sunday Ins Co., Ltd.",Sathorn,Degree,N/A,Permanent,Insurance,Marketing General,25000
Sales Engineer /Sales Executive,"","Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Human Resources Management,Technical Sales,27500
Marketing Researcher (Executive/ Manager),Middle,Adecco Recruitment (Thailand) Limited,Bangrak,Degree,5 years,Full Time,Survey,Public Relations,50000
Technical Sales Representative/ผู้แทนขายวัตถุดิบเครื่องสำอาง,Entry Level,"BESTRA CO., LTD.",Bangkok Area - Samutsakorn,Degree,1 year,Permanent,Paper,Sales,30000
Graphic Designer,Entry Level,"Jolies and Co Co., Ltd.",Bangplad,Degree,N/A,Full Time,Marketing Services,Design,23000
Quality Prodcution ENGINEER (1 Position),"","Delta Electronics (Thailand) Public Co.,Ltd.",Samutprakarn > Muang,Degree,3 years,"Full Time, Permanent",Electronics,Manufacturing & Production,20500
Sales Executive / เจ้าหน้าที่บริหารงานขาย,"",Land and Houses Public Company Limited,Bangkok,Degree,N/A,Full Time,Property Development,CS & Business Devpt,20500
Club Services Coordinator (Customer Services,"",Anantara Vacation Club,Bangkok,High School Certificate,1 year,"Full Time, Permanent",Hospitality,Sales,50000
HR Assistance/ HR Manager/ Pallets,"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,5 years,"Full Time, Permanent",Paper,Admin & HR,95000
Customer Relations Management,Middle,"BAAN KHANITHA CO., LTD.",Wattana,Degree,3 years,Permanent,Catering,Tourism,25000
Senior front,"","7 Peaks Software Co., Ltd.",Klongtoey,Degree,3 years,"Full Time, Permanent",Information Technology,Others,50000
Production Manager (Chemical Manufacturing),"",en world Thailand,Ayutthaya,Degree,10 years,"Full Time, Permanent",Chemical,Engineering,95000
Event Sales Manager (Restaurant experience),Middle,"Destination Eats Co., Ltd.",Wattana,Degree,3 years,Full Time,Catering,Public Relations,50000
Receptionist (พนักงานต้อนรับ),Middle,"Wine & Spirit Trading Co., Ltd.",Pathumwan,(N/A),1 year,Full Time,Catering,Sales,18000
Production Supervisor (Wangnoi Factory)/หัวหน้าผู้ควบคุมงานฝ่ายผลิต,"",Tipco Foods Public Company Limited,Ayutthaya,Degree,1 year,"Full Time, Permanent",Catering,Manufacturing,25000
Assistant Accounting Manager (Japanese New plant set up) at Rayong,"","Skillpower Services (Thailand) Co., Ltd.",Rayong,Degree,5 years,"Full Time, Permanent",Petrochemical,Accounting,50000
Administrative Officer /เจ้าหน้าที่ธุรการ,"","Asia Biogas (Thailand) Co., Ltd.",Pathumwan,Degree,N/A,Full Time,Waste Management,Administration,18000
Account Executive,"",American Gemstone LTD/บริษัท อเมริกัน เจมส์สโตน จำกัด,Bangbon,Degree,1 year,Full Time,Jewellery,CS & Business Devpt,25000
Procurement and Administrator/พนักงานจัดซื้อ,"","Staffers Recruitment Consultants Co., Ltd.",Bangkok,Not Specified,Not Specified,Full Time,Consultancy,Admin & HR,20500
แผนก  行政助理,Entry Level,"CN THAI CO., LTD./บริษัท ซีเอ็นไทย จำกัด",Chiang Mai,Degree,N/A,"Full Time, Permanent",Consultancy,Personal Assistant,19000
Hotel Reservation Officer,"","Khaosan Art Hotel Co.,Ltd.",Pranakorn,Degree,3 years,Full Time,Hospitality,Operation,22500
Sales Representative (Trading/Automotive),"","Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Human Resources Management,CS & Business Devpt,27500
Chef De Parti / Commis,Middle,"INVIBE Advisory Co., Ltd.",Wattana,High School Certificate,2 years,Full Time,Catering,F & B,25000
【WANTED】Backend (server side) Junior Programmer in E,"","POWER GROUP APPLICATIONS CO., LTD.",Wattana,(N/A),Not Specified,Full Time,Others,Application Specialist - Software,50000
Programmer (HR Department),Entry Level,Bangkok Produce Merchandising Public Company Limited,Bangrak,Degree,2 years,Full Time,Trading and Distribution,Software Development,50000
Junior Project Clerk,"",UNHC (United Nations High Commissioner for Refugees),Bangkok,Degree,N/A,Full Time,Non-Profit Organisation,Secretary,18000
Account and Finance Officer (ด่วน),Entry Level,Were Bean Coffee,Rajthevee,Degree,2 years,"Full Time, Permanent",Catering,Accounting,22500
Senior Online Marketer,"","Carenet and Business Management Recruitment Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Media,Marketing,37500
Accountant,"",Ninja Logistics (Thailand) Limited.,Prakanong,Degree,N/A,"Full Time, Permanent",Delivery,Taxation,37500
Videographer: Shoot & Edit,"","EMPAG (THAILAND) CO., LTD.",Wattana,Degree,Not Specified,"Full Time, Permanent",Marketing Services,Design,25000
UX UI Designer/นักออกแบบหน้าจอโปรแกรม,Entry Level,"Zenithsoft Co., Ltd.",Prakket,Diploma of High Vocational Education,N/A,"Contract, Full Time, Permanent",Information Technology,Multi-media,20500
Software Tester/เจ้าหน้าที่ทดสอบระบบ,"","SKOOTAR BEYOND CO., LTD.",Wattana,Degree,2 years,"Full Time, Permanent",Delivery,Testing,30000
Accounting Officer/พนักงานบัญชี,"",Storylog/บริษัท สตอรี่ล็อก จำกัด,Wattana,Degree,Not Specified,Full Time,Information Technology,General Accounting,22500
Application Support / IT Helpdesk/เจ้าหน้าที่ดูแล Application,Entry Level,"SKOOTAR BEYOND CO., LTD.",Wattana,Degree,1 year,"Full Time, Permanent",Freight Forwarding,Support,25000
Lean Manager,"",Robert Walters Thailand,Bangkok Area - Pathumthani,Degree,5 years,"Full Time, Permanent",Human Resources Management,"",95000
ผู้ช่วย/ผู้ช่วยช่าง,Not Specified,"Eastiny Co., Ltd.",Chonburi,Not Specified,Not Specified,Permanent,Catering,Hospitality,11500
Operation Associate,"","Helpdee Technology Co., Ltd.",Wattana,Degree,N/A,"Full Time, Permanent",General Business Services,Public Relations,16500
เจ้าหน้าออนไลน์/เจ้าหน้าออนไลน์,Entry Level,"The Spider Co., Ltd./บริษัท เดอะสไปเดอร์ จำกัด",Bangkhuntien,Degree,N/A,"Full Time, Permanent",Wholesale,Marketing,11500
Technical Service Sales Engineer ( 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,3 years,Full Time,"Engineering - Building, Civil, Construction",Technical Sales,45000
Operations Coordinator,Entry Level,"Neo Global Marketing Co., Ltd.",Sathorn,Degree,2 years,"Full Time, Permanent",Tourism,Admin & HR,22500
Sales Coordinator (2+ yrs related working/ Exp using SAP,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Trading and Distribution,Freight Forwarding,25000
Fashion Buyer (Chinese Speaking)/จัดซื้อต่างประเทศ (ภาษาจีน) /จัดซื้อต่างประเทศ( ภาษาจีน ),"","Unique Trading (Thailand) Co., Ltd./บริษัท ยูนิคเทรดดิ้ง (ไทยแลนด์) จำกัด",Pravet,Degree,N/A,"Full Time, Permanent",Trading and Distribution,CS & Business Devpt,23000
Marketing Research Assistant,Entry Level,"Skillpower Services (Thailand) Co., Ltd.",Wattana,Degree,N/A,Full Time,Marketing Services,Public Relations,22500
Club Services Coordinator (Customer Services,"",Anantara Vacation Club,Bangkok,High School Certificate,1 year,"Full Time, Permanent",Catering,Management,50000
Senior Creative Event,"","Bonduba And Ningki United Co., Ltd./บริษัท บอนดูบา แอนด์ นิงกิ ยูไนเต็ด จำกัด",Wangthonglang,Degree,3 years,"Full Time, Permanent",Public Relations,Creative,37500
Graphic Designer  (New Graduated are welcome),"","Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,2 years,"Full Time, Permanent",Media,Design,18000
IMMEDIATE START,"",EV Development Company Limited,Klongtoey,Degree,N/A,"Full Time, Permanent",Others,Design,57500
Customer Relations Management,Middle,"BAAN KHANITHA CO., LTD.",Wattana,Degree,3 years,Permanent,Food and Beverage,Hospitality,25000
Project Coordinator /ผู้ประสานงานโครงการ,"","KEEN EYE CO.,LTD./บริษัท คีนอายน์ จำกัด",Suanluang,Degree,N/A,"Full Time, Permanent",Public Relations,Design,20500
Sr. Vision Software Engineer (Automation),"","Cal-Comp Electronics (Thailand) Public Co., Ltd.",Klongtoey,Degree,1 year,"Full Time, Permanent",Electronics,Personal Assistant,22500
Administrator,Entry Level,"GLOBAL HEALTHCARE INNOVATION CO., LTD.",Talingchan,Degree,2 years,"Contract, Full Time, Permanent",Health & Beauty Care,Admin & HR,22500
Foreman / วิศวกรควบคุมหน้างาน 2 ตำแหน่งงาน,Entry Level,"PEB STEEL BUILDINGS CO., LTD",Pathumwan,Not Specified,Not Specified,Full Time,Construction,Building,23000
Sales and Marketing (Japanese Speaking),"","Jmax Recruitment Co., Ltd.",Sathorn,Degree,2 years,Full Time,Electronics,Sales,62500
Senior HR & Admin Officer,Middle,"Perfekt Technology & Systems Co., Ltd.",Bangna,Degree,3 years,"Full Time, Permanent",Security,Recruitment,25500
Project Manager,"","Renova Group Co., Ltd./บริษัท รีโนวา กรุ๊ป จำกัด",Bangkae,Degree,3 years,Permanent,Property Development,CS & Business Devpt,67500
Creative Director (Strong in Retail,Senior,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Public Relations,Interior,105000
Sr. Costing  / Costing Officer,"",JAC AYUTTHAYA,Bangkok Area - Pathumthani,Degree,N/A,"Full Time, Permanent",Human Resources Management,Credit Control,35000
Sales Executive Assistant,"",LAVA INTERNATIONAL (THAILAND) LIMITED,Huaykwang,Degree,N/A,Full Time,Telecommunication,Admin & HR,27500
Senior Secretary / Personal Assistant,"",Southeast Insurance Public Company Limited,Bangrak,Degree,8 years,"Full Time, Permanent",Insurance,Personal Assistant,50000
Videographer: Shoot & Edit,"","EMPAG (THAILAND) CO., LTD.",Wattana,Degree,Not Specified,"Full Time, Permanent",Public Relations,Design,25000
Driver,"","FPT Food Process Technology Co., Ltd.",Bangplee,High School Certificate,2 years,Full Time,Automation Equipment,Others,13000
Customer Operations Executive (Ekamai 12),Entry Level,The Lorry Company Limited,Wattana,Degree,1 year,Full Time,Shipping,Student,20500
Graphic Designer,Entry Level,"Teaching Toys Co., Ltd.",Bangkok,Degree,1 year,Full Time,Education,Media & Advertising,18000
Director of Coffee/Beverage,"",Argyll Scott Asia,Bangkok,Degree,10 years,"Full Time, Permanent",Food and Beverage,Distribution,105000
Senior Creative Event,"","Bonduba And Ningki United Co., Ltd./บริษัท บอนดูบา แอนด์ นิงกิ ยูไนเต็ด จำกัด",Wangthonglang,Degree,3 years,"Full Time, Permanent",Advertising,Design,37500
.NET Developer (20 Positions),"","Cube SoftTech Co.,Ltd./บริษัท คิวบ์ ซอฟท์เทค จำกัด",Bangkok,Degree,2 years,"Contract, Full Time, Internship, Part Time, Permanent, Temporary",Information Technology,Information Technology (IT),42500
บริการ,Entry Level,"UBON CENTRAL SPORT LTD., PART.",Ubon Ratchathani,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Wholesale,CS & Business Devpt,7500
Graphic Design,Entry Level,kaewnawarat 1999 company,Chiang Rai,(N/A),N/A,Full Time,Sports,SEO,17500
Sales & Event Marketing Representative,Entry Level,Cosmo Corporation Group,Rajthevee,Degree,N/A,"Freelance, Full Time, Part Time",Marketing Services,Sales,25000
Accounting Officer,Middle,"BEST GLOBAL MOTION CO., LTD.",Ladprao,Diploma of High Vocational Education,2 years,"Full Time, Internship",Trading and Distribution,General Accounting,20500
Real Estate Manager,"",Bata (Thailand) Limited,Bangna,Degree,5 years,Full Time,Wholesale,Property,80000
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Business Development,27500
Sales & Marketing Manager,Entry Level,"S&D International Co., Ltd.",Bangkok,Degree,1 year,Contract,General Business Services,Public Relations,37500
Sales Coordinator/CS Officer/Purchasing Officer (Welcome Fresh Graduate),Entry Level,"Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Human Resources Management,Clerical Support,23000
Sale Engineering/วิศวกร,Not Specified,"USAE (Thailand) Co., Ltd.",Bangkok,Degree,2 years,Permanent,Mechanical,Sales Engineer,30000
Senior/Lead Brand Manager (Skin Care,"",Argyll Scott Asia,Bangkok,(N/A),5 years,"Full Time, Permanent",Wholesale,Product Management,105000
Programmer (JAVA)/โปรแกรมเมอร์จาวา,Entry Level,"Global Edge Asia Co., Ltd",Wattana,Degree,3 years,"Contract, Full Time, Permanent, Temporary",Information Technology,Application Specialist - Software,42500
Operations Coordinator,Middle,"Greenstay Co., Ltd/บริษัทกรีนสเตย์ จำกัด",Singburi,Degree,2 years,Full Time,Travel Agency,F & B,22500
Account Manager (Digital),Middle,Q Hunter Company Limited,Sathorn,Degree,Not Specified,Permanent,Marketing Services,Sales,72500
Internal Auditor,"","Bangkok Airways Co., Ltd.",Jatuchak,Degree,1 year,"Full Time, Permanent",Mass Transportation,Accounting,20500
BOI OFFICER / เจ้าหน้าที่ประสานงานบีโอไอ/เจ้าหน้าที่ประสานงานบีโอไอ,Entry Level,"DKK MANUFACTURING (THAILAND) CO., LTD./ิบริษัท ดีเคเค แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด",Ayutthaya,Degree,1 year,Permanent,Electronics,Shipping,20500
Corporate Marketing Officer (Base on BKK),Entry Level,Diamond Building Products Public Company Limited,Phayathai,Degree,1 year,Full Time,Property Development,Call Centre,20500
Sales Executive (Exp. Selling any products / Welcome New Graduate),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Petrochemical,Chemical,22500
Assistant Manager Finance & Accouting,Middle,"S and L Specialty Polymers Co., Ltd./บริษัท เอส แอนด์ แอล สเปเชียลตี้ โพลิเมอร์ จำกัด",Rayong,Degree,5 years,Full Time,Plastic,Accounting,62500
Lab Engineer / test method & specification (product/process/machine qualification),"",RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,3 years,Full Time,Electronic,Manufacturing & Production,35000
Marketing Manager,"","Forbest Properties Co., Ltd.",Sathorn,Degree,5 years,Full Time,Health & Beauty Care,Product Management,32500
Sales Coordinator (Oversea),"","Wonder World Products Co., Ltd.",Pathumthani > Muang,Degree,1 year,"Full Time, Permanent",Toys,Sales,25500
Customer Service Officer (New graduate are welcome),"","Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,N/A,Full Time,Publishing,Sales,22500
เจ้าหน้าที่จัดซื้อ  (Purchase)       ยินดีรับนักศึกษาจบใหม่!!!!,"","Cool Innotech Co., Ltd.",Pravet,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Mixed Industry Group,Others,11500
Purchasing Officer/เจ้าหน้าที่จัดซื้อ,Entry Level,"S.C.S. Footwear Co., Ltd.",Suanluang,Master,2 years,Full Time,Catering,Procurement,25000
Admin and English Translator,Entry Level,"PWM Machinery (Thailand) Co.,Ltd",Bangna,Degree,N/A,Full Time,Trading and Distribution,Engineering,20500
Purchasing Engineer (Pathum Thani),"",JAC AYUTTHAYA,Bangkok Area - Pathumthani,Degree,2 years,"Full Time, Permanent",Consultancy,Merchandising & Purchasing,30000
Customer Services,"","S.M.Chemical Supplies Co., Ltd.",Ladprao,Degree,2 years,"Full Time, Permanent",Paper,Others,20500
Country Manager (Bangkok),"","The Hive Bangkok Co., Ltd.",Wattana,Degree,5 years,Full Time,Catering,Customer Service,62500
Copywriter / Editor,"","Ctrip Computer Technology (Shanghai) Co., Ltd",Overseas,Not Specified,Not Specified,Full Time,Travel Agency,Media & Advertising,95000
Sales & Event Marketing Representative,Entry Level,Cosmo Corporation Group,Rajthevee,Diploma of High Vocational Education,N/A,"Freelance, Full Time, Part Time",Marketing Services,Marketing General,25000
Sales & Event Marketing Representative,Entry Level,Cosmo Corporation Group,Rajthevee,Degree,N/A,"Freelance, Full Time, Part Time",Public Relations,Public Relations,25000
Recruitment and HR Executive  / Recruitment Officer/สรรหาบุคลากรและบริหารทรัพยากรบุคคล,"",OmniRaise,Prakanong,(N/A),2 years,Full Time,Public Relations,Admin & HR,27500
IT Manager,Senior,"Tarad Dot Com Co., Ltd./บริษัท ตลาดดอทคอม จำกัด",Huaykwang,Degree,N/A,"Full Time, Permanent",Media,Network & System,42500
Web master / Graphic designer /พนักงานคอมพิวเตอร์ /กราฟฟิคดีไซเนอร์,"",TOYS & GYM Company Limited,Phitsanulok,Diploma of High Vocational Education,1 year,"Freelance, Full Time",Manufacturing,Graphics,11500
Office Administrator/เจ้าหน้าที่ธุรการ,Entry Level,"Finnomena Co., Ltd.",Bangrak,Degree,N/A,Full Time,Financial Services,Secretary,16500
Sales Assistant/พนักงานขาย,"","THE OBJECT ROOM CO., LTD.",Klongtoey,Not Specified,Not Specified,Full Time,Retail,CS & Business Devpt,20500
Sales Executive (Phuket Brach)/เจ้าหน้าที่ฝ่ายขาย,Senior,"EMHUES CO., LTD.",Phuket,Degree,3 years,Full Time,Retail,CS & Business Devpt,30000
Business Development Manager /ผู้จัดการพัฒนาธุรกิจ/ผจก.พัฒนาธุรกิจ,"","VRP Food and Bakery Co., Ltd.",Kanchanaburi,(N/A),3 years,"Full Time, Permanent",Food and Beverage,Public Relations,27500
Backend Developer (Ruby on Rails),Entry Level,JAC International,Bangkok,Degree,1 year,"Full Time, Permanent",Information Technology,Information Technology (IT),52500
Sales Engineer/วิศวกรการขาย,"","San Ho (Thailand) Co., Ltd.",Bangbon,Diploma of High Vocational Education,N/A,Permanent,Automation Equipment,Sales,23000
Senior Graphic Designer,"",Baania (Thailand) Company Limited,Nonthaburi > Muang,Degree,5 years,"Full Time, Permanent",Public Relations,Design,32500
Account Manager,"","Nexus Human Resources Recruitment Co., Ltd.",Bangkok,Degree,10 years,"Full Time, Permanent",Consultancy,CS & Business Devpt,95000
International Sales / Online Sales,Entry Level,"PACKAGEDISPLAY INTERNATIONAL CO., LTD.",Bangrak,Degree,1 year,Full Time,Jewellery,Account Servicing,27500
Supply Assistant / Sales person,"",RLC RECYCLING LTD/RLC RECYCLING LTD.,Bangsaotong,(N/A),N/A,"Full Time, Part Time, Permanent",Others,Others,37500
Sales Executive,Middle,"A M T FOOD CO., LTD./บริษัท เอ เอ็ม ที ฟู้ด จำกัด",Bangkok Area - Samutsakorn,Degree,2 years,Full Time,Food and Beverage,CS & Business Devpt,30000
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Event Marketing,27500
Planning Manager (80,"","Skillpower Services (Thailand) Co., Ltd.",Rayong,Degree,5 years,"Full Time, Permanent",Electronic,Engineering,80000
เจ้าหน้าที่ Graphic Design & Media/เจ้าหน้าที่กราฟฟิคดีไซน์และสื่่อออนไลน์,"","Thamsoonthorn Medical Center Co., Ltd.",Ratburana,Degree,2 years,Full Time,Pharmaceutical,Graphics,20500
Accounting Officer/Accounting Officer,"","J & P Fragrances Co., Ltd.",Sathorn,Degree,1 year,Full Time,Accounting,Accounting,18000
ผู้บริหารงานลูกค้า (Account Executive),"","Pakgon Co., Ltd.",Bangrak,Degree,2 years,Full Time,Information Technology,Sales,27500
Sales หลายอัตรา/พนักงานขาย,Entry Level,"TNP CO., LTD.",Huaykwang,Degree,N/A,"Full Time, Permanent",Motor Vehicles,Sales,95000
Finance Manager,Senior,JAC International,Suanluang,Degree,7 years,Full Time,Motor Vehicles,Finance,125000
Accounting  Officer,Entry Level,IPG Advertising (Thailand) Ltd.,Bangrak,Degree,1 year,"Full Time, Permanent",Printing,Accounting,25000
Supply Chain Manager Job (Heavy Equipment),Senior,"Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Degree,8 years,Full Time,Automation Equipment,Warehousing,140000
Merchandiser (Fashion and Apparel)/จัดซื้อ (เสื้อผ้า),Not Specified,Q Hunter Company Limited,Pathumwan,Degree,Not Specified,Permanent,Clothing,Merchandising & Purchasing,42500
Purchasing Officer,Entry Level,"Dockweiler Asia Co., Ltd.",Bangkok Area - Samutsakorn,Degree,1 year,"Full Time, Permanent",Manufacturing,Merchandising - Others,30000
Senior Technical Sales Representative (Rubber,"",ALP Group,Suanluang,Degree,3 years,Permanent,Petrochemical,Sciences,62500
Structural Engineer,Entry Level,"H. ENGINEER CO., LTD./บริษัท เอช เอ็นจิเนียร์ จำกัด",Bangsue,Degree,N/A,"Full Time, Permanent",Building,QS,22500
Sales Engineer : 1 Person / Sales : 1 Person,"","ACCRETECH (THAILAND) CO., LTD.",Bangkok Area - Samutprakarn,Degree,3 years,"Full Time, Permanent",Industrial Machinery,Mechanical,27500
Business Development Manager (English resume only),"",XPO Logistics Worldwide (Thailand) Ltd.,Bangsaotong,Degree,3 years,Full Time,Delivery,Professional Services,72500
Officer,Entry Level,Bangkok Airways Public Company Limited,Jatuchak,Degree,1 year,"Full Time, Permanent",Mass Transportation,General Accounting,18000
Accountant (URGENT REQUIRED)/เจ้าหน้าที่บัญชี,Entry Level,"DNH Export Co., Ltd./บริษัท ดีเอ็นเอช เอ็กซ์ปอร์ต จำกัด",Bangkhuntien,Degree,N/A,"Full Time, Permanent",Shipping,General Accounting,18000
Accounting (30K,"","Reeracoen Recruitment Co., Ltd.",Yannawa,(N/A),3 years,"Full Time, Permanent",Human Resources Management,General Accounting,37500
Purchasing Officer (1+ yr exp in Purchasing,"","Smartcruit Consultant Co., Ltd.",Bangna,Degree,1 year,"Full Time, Permanent",Mechanical,Purchasing,22500
Safety Manager (FMCG),"","J.S.Technical Services Co., Ltd.",Others,Degree,10 years,Permanent,Chemical,Health,125000
Senior Social Media Specialist,"","Sunday Ins Co., Ltd.",Sathorn,Degree,N/A,Permanent,Insurance,Marketing,25000
Server,"","POWER GROUP APPLICATIONS CO., LTD.",Wattana,(N/A),Not Specified,Full Time,Others,Programming,40000
Sales Engineer (Exp 3 years+ in Automation Products/ *Attractive Salary&Benefits),Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Mechanical,Management,37500
Used Car Inspection Executive,Middle,"grasia Bangkok Co., Ltd.",Klongtoey,Diploma of High Vocational Education,3 years,Full Time,Public Relations,Others,42500
HR Manager /ผู้จัดการส่วนทรัพยากรมนุษย์,"",Kulthorn Kirby Public Company Limited,Ladkrabang,Degree,6 years,Full Time,Electrical Equipment,Admin & HR,57500
Public Relations (media relation) and Marketing Executive,Entry Level,"Niramit Plus Co., Ltd.",Phayathai,Degree,1 year,"Full Time, Permanent",Marketing Services,Marketing,20500
Business Developer / Marketing,Middle,"NOUVEAU SIAM TRAVEL CO., LTD./นูโว สยาม ทราเวล จำกัด",Bangkok Area - Nonthaburi,Degree,Not Specified,"Contract, Freelance, Full Time, Permanent, Temporary",Travel Agency,CS & Business Devpt,32500
Creative Group Head (ด้าน Event หรือด้าน Digital Marketing หรือด้าน Advertising),"","JENOSIZE Co., Ltd.",Prakket,Degree,5 years,"Contract, Freelance, Full Time, Part Time, Permanent, Temporary",Others,Creative,50000
Key Account Supervisor,Middle,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,Prakanong,Degree,3 years,"Full Time, Permanent",Trading and Distribution,CS & Business Devpt,30000
Import,Entry Level,Orenburg Consulting Group,Saraburi,Degree,3 years,"Contract, Temporary",Consultancy,Shipping,45000
Bookkeeping / Finance Assistant.,"",bf8,Prakanong,Degree,2 years,Full Time,Marketing Services,Accounting,52500
QA/QC/เจ้าหน้าที่ฝ่ายควบคุมคุณภาพ,Entry Level,"CELERAISE (THAILAND) CO., LTD.",Chonburi,Degree,1 year,Full Time,Manufacturing,Management,20500
Field Sales Engineer,Not Specified,"Skillpower Services (Thailand) Co., Ltd.",Bangkok,Not Specified,Not Specified,Full Time,Electrical Equipment,CS & Business Devpt,45000
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Business Development,27500
Front Office Manager,Senior,Koranaree Courtyard Boutique Hotel,Nakhon Ratchasima,Degree,1 year,"Full Time, Permanent",Hospitality,Others,22500
Customer Service/ Sales Coordinator (1 yr+ exp/ TOEIC 600+ is preferred/ Attractive Benefits),Entry Level,"Smartcruit Consultant Co., Ltd.",Bangrak,Degree,1 year,"Full Time, Permanent",Trading and Distribution,Customer Service,22500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Business Development,27500
Purchasing Officer (1+ yr exp in Purchasing,"","Smartcruit Consultant Co., Ltd.",Bangna,Degree,1 year,"Full Time, Permanent",Engineering - Electrical,Merchandising & Purchasing,22500
Coordinator/ประสานงานรายการ,Not Specified,"PARBDEE TAWESUK CO., LTD.",Wattana,Not Specified,Not Specified,Contract,Printing,Radio,20500
Programmer,"","TPN FlexPak Co., Ltd./ทีพีเอ็น เฟล็กซ์แพค",Chachoengsao,Degree,N/A,"Full Time, Permanent",Packaging,Information Technology (IT),25500
Quality Assurance / พนักงานตรวจสอบคุณภาพสินค้า (เสื้อผ้า),"","Pomelo Fashion Co., Ltd.",Prakanong,(N/A),N/A,Temporary,Garment,Garment,13000
Operation Manager (The 1 Card),Entry Level,Central Group (Supporting Unit),Pathumwan,Degree,5 years,"Full Time, Permanent",Wholesale,CS & Business Devpt,57500
International Sales and Marketing Manager,"","Golfasian Co., Ltd.",Wattana,Degree,2 years,"Full Time, Permanent",Travel Agency,Management,52500
Administrator (Examination service),"","Skillpower Services (Thailand) Co., Ltd.",Pathumwan,Degree,1 year,"Contract, Full Time, Temporary",Education,Admin & HR,22500
CAD Operator for ICP/CSD,"",Sumitomo Corporation,Jatuchak,Diploma of High Vocational Education,3 years,"Contract, Full Time",Building,Mechanical,32500
SALES EXECUTIVE,Entry Level,Buhlmann (Thailand) Ltd.,Huaykwang,Degree,1 year,Full Time,Trading and Distribution,Customer Service,30000
Sales Assistant,"",Expressions Parfumées,Wattana,Not Specified,Not Specified,Full Time,Plastic,Operation,27500
Customer care,"","Obrist (Thailand) Co., Ltd.",Samutprakarn > Muang,Not Specified,Not Specified,Full Time,Paper,Sales,16500
HRD / Human Resource Development /เจ้าหน้าที่พัฒนาทรัพยากรบุคคล,"","SOUTHERN COFFEE 1979 (THAILAND) CO., LTD.",Bangbuathong,(N/A),N/A,Full Time,Catering,Others,20500
Sales & Event Marketing Representative,Entry Level,Cosmo Corporation Group,Rajthevee,Diploma of High Vocational Education,N/A,"Freelance, Full Time, Part Time",Marketing Services,Public Relations,25000
Marketing Manager /ผู้จัดการแผนกการตลาด,"","Krua Maesriruen Co., Ltd.",Wangthonglang,Degree,10 years,Full Time,Catering,Marketing,45000
Supply Chain Manager Job (Heavy Equipment),Senior,"Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Degree,8 years,Full Time,Automation Equipment,Management,140000
Sr.Trainer / Asst. Trainer Manager(3 Positions),"",MOCAP Limited,Rajthevee,Degree,3 years,"Full Time, Permanent",Information Technology,Sales,32500
e,"",Robert Walters Thailand,Bangkok,Degree,3 years,"Full Time, Permanent",Consultancy,Marketing,72500
ACCOUNT EXECUTIVE / SENIOR ACCOUNT EXECUTIVE / ACCOUNT MANAGER,"","Communication One Co., Ltd.",Huaykwang,Degree,1 year,Permanent,Marketing Services,Public Relations,32500
